 	mio	padre	ha	lavorato	sempre	</S>
o	0.16665725	0.16665624	0.16666158	0.16670151	0.16665865	0.16666475
c	0.16489747	0.16489345	0.16558012	0.17021862	0.16545914	0.16895118
i	0.15495212	0.15472637	0.16172719	0.2139504	0.15759064	0.15705328
ù	0.1621784	0.16237426	0.16461135	0.18202004	0.1631952	0.16562077
r	0.14659563	0.14512691	0.15725997	0.24973576	0.14956817	0.15171354
i	0.14681007	0.14679608	0.15440986	0.15447266	0.16962913	0.22788215
m	0.15686435	0.15728174	0.16125423	0.160158	0.15802783	0.20641387
m	0.12977615	0.12836544	0.14826082	0.26088366	0.14807993	0.18463397
u	0.16372214	0.16418509	0.1646462	0.16554934	0.1642045	0.1776928
è	0.09805682	0.103565484	0.15678406	0.112804025	0.118142575	0.41064706
p	0.14299224	0.13726796	0.14986555	0.23713958	0.14567327	0.18706147
o	0.13466462	0.12378109	0.14552844	0.30848426	0.13211934	0.1554222
l	0.081737384	0.08084048	0.1286464	0.4181909	0.10697571	0.18360919
e	0.04682016	0.04363406	0.14314637	0.32946238	0.16114552	0.27579156
m	0.043086763	0.045650948	0.084100105	0.20763965	0.0809602	0.5385623
i	0.034447823	0.03001255	0.13740219	0.27479413	0.18114196	0.34220138
m	0.014224384	0.016759194	0.07109195	0.2078181	0.13439362	0.5557128
m	0.012733953	0.011192702	0.089418955	0.15052313	0.22450957	0.5116217
è	0.030335816	0.036072828	0.0770579	0.09572481	0.07780051	0.68300813
n	0.009847436	0.012513821	0.034595232	0.0346858	0.08590266	0.82245505
a	0.04214437	0.041447163	0.05862376	0.1475794	0.2547996	0.4554057
p	0.0019863036	0.0044363523	0.0049708625	0.008003068	0.047727585	0.9328758
à	0.011770875	0.018384071	0.056951836	0.10616258	0.37134856	0.43538207
n	0.0017874162	0.0032662314	0.12202449	0.09720698	0.3010202	0.47469464
t	0.0013471924	0.005421115	0.037470505	0.03369111	0.41822726	0.50384283
a	0.0012466375	0.0010507632	0.018181307	0.072040714	0.3465979	0.5608826
</S>	0.00023780909	0.005585389	0.011080784	0.032826584	0.49518955	0.45507985
