 	Marika	cerca	una	macchina	che	consuma	fa	poco	consumo	in	benzina	</S>
e	0.08332856	0.08332894	0.08332881	0.08332894	0.08332932	0.08332863	0.08332945	0.08333714	0.083340384	0.083344646	0.08333117	0.08334401
M	0.081757456	0.08176108	0.081755586	0.08175765	0.08176301	0.081771	0.08314055	0.0914115	0.08319315	0.083799474	0.08266649	0.08522309
à	0.07093271	0.07175044	0.07120734	0.071602084	0.07093612	0.07094873	0.07376757	0.09253741	0.09441079	0.15388425	0.07989734	0.07812528
r	0.07088327	0.07086051	0.07089939	0.070873804	0.07117471	0.07115234	0.09101502	0.15136877	0.075875625	0.07229124	0.07654603	0.10705928
i	0.080142066	0.08014017	0.080224104	0.08017161	0.080842085	0.080309905	0.08075387	0.08711633	0.090305045	0.086214066	0.08120519	0.09257559
k	0.08202256	0.08201718	0.08201856	0.082015805	0.08203658	0.082031384	0.08303249	0.08910974	0.08322415	0.083069995	0.08252252	0.086899005
a	0.082552485	0.0825894	0.08262464	0.082607366	0.08302007	0.08256836	0.0828625	0.085025996	0.08375724	0.08422681	0.08293897	0.085226156
j	0.07982205	0.07981693	0.07982034	0.079815894	0.07986955	0.07984147	0.08186936	0.093798816	0.081566475	0.08142385	0.0847063	0.097648956
u	0.062525235	0.062851705	0.062705524	0.06284216	0.06320244	0.06305708	0.095885016	0.16046612	0.08014806	0.086613856	0.07601135	0.12369143
r	0.061639145	0.061587114	0.06159383	0.061582595	0.061762903	0.06231698	0.103167966	0.16332033	0.0779999	0.07128163	0.078939326	0.13480835
è	0.0721825	0.07218069	0.072666034	0.07234906	0.07604676	0.072393455	0.08279314	0.13064103	0.08138639	0.081954464	0.078114495	0.10729198
i	0.069802865	0.06976836	0.07026558	0.06993938	0.07364702	0.07001477	0.08649305	0.14243788	0.076311156	0.07304096	0.07570442	0.1225746
m	0.056061618	0.05653215	0.05630324	0.05646124	0.057245724	0.056356918	0.081297174	0.14352515	0.09602717	0.13011487	0.07000624	0.14006847
i	0.07293775	0.073653854	0.073254675	0.07355469	0.073534325	0.072960295	0.07447932	0.08615569	0.09380252	0.14411113	0.080933064	0.0806227
a	0.053707015	0.053599525	0.053627018	0.05358329	0.054159928	0.054859128	0.10933472	0.15776089	0.09199717	0.081290476	0.08402597	0.15205483
m	0.03326163	0.037346736	0.035111673	0.037007842	0.036247164	0.03383919	0.067367226	0.11683574	0.14827703	0.24581033	0.07777092	0.13112454
à	0.052889224	0.054127593	0.053339228	0.05381453	0.053533237	0.052992985	0.062929384	0.112542346	0.1143135	0.23014344	0.080981344	0.078393154
k	0.03480511	0.033900067	0.041345086	0.036700994	0.06806924	0.043301784	0.10015572	0.10703706	0.10173333	0.0718859	0.122138076	0.23892759
i	0.03769634	0.03776353	0.04058486	0.038804337	0.056497756	0.038923115	0.059646357	0.15547407	0.10281313	0.09390622	0.057985887	0.27990443
n	0.040050995	0.039767794	0.039981663	0.039759178	0.04181181	0.040885575	0.08561433	0.13397908	0.115366235	0.08820172	0.065486774	0.26909482
a	0.05066648	0.06292762	0.063792735	0.065859176	0.09023033	0.05057981	0.0631211	0.10721299	0.06395238	0.0827106	0.07252103	0.22642578
k	0.027487112	0.027495943	0.027497832	0.02742902	0.029659765	0.029562011	0.0762118	0.1091761	0.16896734	0.18244986	0.08104642	0.21301684
a	0.024552846	0.02688825	0.027235208	0.027182812	0.036462452	0.025213385	0.04994812	0.11000104	0.16095084	0.22392061	0.09766423	0.18998024
k	0.01272004	0.011747403	0.013262459	0.012213363	0.020831043	0.020838862	0.037710182	0.051093303	0.14795204	0.2433996	0.08875824	0.33947346
o	0.008509791	0.009085944	0.009334947	0.009007049	0.01329409	0.009995072	0.025332382	0.07135937	0.23081604	0.20190792	0.22594514	0.18541227
n	0.00800163	0.007238479	0.007632612	0.0072666826	0.0107905455	0.013387803	0.025579346	0.0448377	0.1794465	0.31429958	0.08516461	0.2963545
s	0.015362703	0.022708036	0.028957618	0.02785936	0.037872307	0.017579367	0.04326668	0.060868822	0.13238353	0.17280854	0.14935686	0.29097617
u	0.028124452	0.02670582	0.026922382	0.026658224	0.029010952	0.038933653	0.08688755	0.11940572	0.2280007	0.17558654	0.09042869	0.12333535
m	0.0062589403	0.00412125	0.0037965793	0.0032645501	0.0044052224	0.008786228	0.03443884	0.052787416	0.12731536	0.10180977	0.21250302	0.4405128
è	0.0042448994	0.0044347565	0.005232187	0.0047321375	0.008524884	0.0050599636	0.013212093	0.033634897	0.17463839	0.19444707	0.10064293	0.45119572
i	0.011260085	0.0035190529	0.009179184	0.007913821	0.010201792	0.016184513	0.041371666	0.06862826	0.16798173	0.10195567	0.21016864	0.35163558
k	0.001411277	0.0013309768	0.0014874537	0.0011315029	0.0015092684	0.0019186374	0.006811362	0.011426347	0.055141844	0.065668136	0.18371923	0.668444
à	0.0020621514	0.0028490208	0.004337457	0.004015819	0.005078316	0.0032810548	0.006962928	0.02265815	0.16992806	0.21903807	0.08945235	0.47033668
n	0.013314539	0.0016001672	0.0039755013	0.0037105165	0.006327755	0.013164052	0.031223008	0.050944846	0.1517587	0.1386771	0.11415193	0.4711519
n	0.0018411375	0.0015526372	0.0033480497	0.004365316	0.0023344383	0.0040946743	0.006557852	0.02198605	0.12873459	0.19444552	0.034443732	0.596296
