 	devo	pulire	l	albero	</S>
è	0.1077883	0.11000165	0.12073375	0.17718704	0.48428923
n	0.1980154	0.19816594	0.20136063	0.19905435	0.20340371
a	0.19645558	0.19659503	0.19782518	0.19940473	0.20971946
k	0.12507801	0.12819545	0.2401194	0.19349594	0.31311122
a	0.016940573	0.04160721	0.30712703	0.25547263	0.3788526
t	0.017956393	0.02580185	0.23229583	0.24302678	0.48091912
à	0.0019117078	0.01222245	0.1898764	0.65962696	0.13636245
r	0.029055297	0.032124277	0.090467475	0.15009709	0.69825584
o	0.022900786	0.037235543	0.28381085	0.23545529	0.42059746
t	0.0028725865	0.0038371473	0.025552144	0.51463217	0.45310596
o	0.002998677	0.010730081	0.100178845	0.6770128	0.20907961
n	0.0003920493	0.0010504823	0.007985725	0.919866	0.070705675
à	0.0006569331	0.0096924165	0.08508794	0.3549459	0.5496168
r	0.00019503779	0.0047641164	0.03454394	0.7155647	0.24493223
b	0.00092294946	0.00310217	0.10269829	0.5405778	0.3526988
u	0.00010393805	0.00055158825	0.009344809	0.84953296	0.1404667
r	0.00014553772	0.00089526357	0.015802706	0.5655548	0.41760167
o	0.00027023166	0.001311389	0.075326085	0.62013197	0.30296025
</S>	0.00060672185	0.015529335	0.070020266	0.7539953	0.15984838
