 	non	mi	aspetti	non	vengo	</S>
m	0.16639636	0.16639636	0.16641058	0.16639687	0.16645654	0.16794328
ì	0.1507261	0.15079108	0.15165962	0.15899785	0.20563562	0.18218973
m	0.13054466	0.13054864	0.13123149	0.13088712	0.13577615	0.3410119
e	0.16404924	0.16430214	0.16417445	0.16411972	0.1684616	0.17489284
m	0.15168852	0.15195632	0.15263127	0.15349999	0.16951165	0.22071223
ì	0.05170866	0.05235356	0.055161368	0.066230305	0.20902832	0.56551784
n	0.05721576	0.05745912	0.06580848	0.058675915	0.11093482	0.6499059
i	0.12396838	0.12407151	0.12447617	0.12437128	0.13048635	0.37262625
e	0.015575269	0.016870381	0.02997863	0.033523895	0.50535005	0.3987018
n	0.002790873	0.009569573	0.0035103306	0.007344442	0.46562412	0.5111607
è	0.0075925332	0.011599559	0.008297199	0.016200459	0.25802162	0.6982886
r	0.0008740125	0.0012246054	0.0021389814	0.0041393586	0.13031894	0.86130416
k	0.0037803466	0.0016466234	0.0027168158	0.006383693	0.43810925	0.5473633
o	0.00051092764	0.002713039	0.0015181442	0.001736685	0.7810427	0.21247844
m	6.857592e-05	0.0028311834	0.0014110339	0.002634486	0.8553895	0.13766515
e	1.6768375e-06	2.1051108e-05	1.389611e-05	0.0002813348	0.9304046	0.069277436
</S>	3.411011e-05	0.0015697043	0.002379382	0.014979636	0.868461	0.11257618
