 	hai	già	mangiato	</S>
è	0.17449743	0.17652161	0.21768841	0.4312926
c	0.24197496	0.24449316	0.2443796	0.26915228
h	0.15837269	0.17856194	0.19575493	0.46731043
i	0.21796049	0.22752282	0.23196746	0.3225492
g	0.10176866	0.11685759	0.14322957	0.6381442
i	0.058580495	0.2521469	0.27875558	0.41051698
à	0.035977293	0.132441	0.64657646	0.18500523
f	0.011596899	0.09200048	0.61053276	0.28586987
a	0.0018411416	0.016168771	0.65838784	0.32360217
m	0.0011059433	0.0028973077	0.7294742	0.26652262
è	0.0008386306	0.032443408	0.5896268	0.37709117
n	0.0008869544	0.008456798	0.7747565	0.21589965
a	0.00075088494	0.009217063	0.89061826	0.09941377
</S>	0.0036867496	0.008855303	0.35469604	0.6327619
