 	da	da	un	famoso	poeta	</S>
p	0.16633126	0.16633508	0.16634382	0.1681006	0.16652833	0.16636096
u	0.16435468	0.16438164	0.16442579	0.17759971	0.16444373	0.16479439
s	0.10683111	0.10729303	0.10876444	0.43237492	0.108344376	0.13639213
s	0.07639138	0.07803016	0.08188417	0.5623359	0.101279445	0.10007904
è	0.12635377	0.126863	0.12980512	0.16094634	0.27856916	0.17746264
n	0.12654251	0.12650593	0.12688714	0.14026912	0.13738889	0.3424064
a	0.10356095	0.10454198	0.109301575	0.20425364	0.29301834	0.18532352
f	0.0709211	0.070593156	0.074607715	0.41708866	0.09085831	0.27593106
a	0.05232396	0.05642589	0.06880879	0.5309942	0.17879792	0.11264931
m	0.024597203	0.026337674	0.038249966	0.40959787	0.066418424	0.43479884
ò	0.022339556	0.036101043	0.10009864	0.29497465	0.3927839	0.15370224
s	0.017653007	0.017200217	0.021601312	0.3218239	0.13193123	0.48979035
o	0.010212555	0.024038183	0.04341413	0.45357764	0.15358128	0.3151762
p	0.0062559578	0.006325803	0.012288036	0.09909975	0.21632703	0.65970343
o	0.014939867	0.023052251	0.0633432	0.1544817	0.31547293	0.42871
è	0.000302463	0.0005925153	0.0024616572	0.0048724986	0.5028332	0.48893768
t	0.00032674606	0.0007824261	0.0035964851	0.010388733	0.90584064	0.07906494
a	0.00050937955	0.0024323745	0.014201703	0.03840602	0.86761713	0.07683347
</S>	0.000111602065	0.0012317272	0.0025934405	0.0033851783	0.7092865	0.28339162
