 	mia	figlia	vuole	andare	</S>
i	0.19997558	0.19997527	0.20006806	0.1999945	0.19998656
k	0.19731484	0.19694051	0.20383255	0.1990116	0.20290053
i	0.18954337	0.18950461	0.23671153	0.19172527	0.19251516
a	0.19044456	0.1903969	0.22184224	0.19395894	0.20335734
t	0.09074959	0.08969232	0.5735966	0.13033588	0.11562565
è	0.13613407	0.1357988	0.28770682	0.14476456	0.2955957
r	0.11683028	0.11486001	0.14579488	0.13051859	0.49199626
a	0.11001359	0.11053993	0.14250074	0.12723096	0.5097147
m	0.12753677	0.11973459	0.1843446	0.14561811	0.4227659
u	0.11725323	0.11587332	0.44480094	0.13815913	0.1839134
i	0.07094085	0.06140281	0.21911205	0.13636744	0.5121769
t	0.017278885	0.012927491	0.2469117	0.17000578	0.5528761
è	0.031454276	0.029091248	0.3651689	0.12172371	0.45256186
l	0.0458206	0.026601365	0.23070064	0.39406884	0.3028085
i	0.010070793	0.010678593	0.22242023	0.18274206	0.5740883
n	0.0053381003	0.003148835	0.015670635	0.3640354	0.611807
a	0.013646925	0.009353062	0.07867044	0.0971482	0.8011814
p	0.00026661114	0.00022597451	0.0050690817	0.44602597	0.5484124
à	0.0040567666	0.0038934988	0.03195489	0.35217983	0.607915
i	0.00092215394	0.001303167	0.09532538	0.5352458	0.36720356
</S>	6.870227e-05	0.00016221903	0.0028213689	0.78142434	0.21552344
