 	ha	che	sono	usciti	</S>
è	0.10106949	0.28292033	0.2835851	0.12184222	0.21058294
n	0.19580515	0.19824825	0.1976202	0.19891322	0.20941314
a	0.17630991	0.18739761	0.19934818	0.24335033	0.19359395
g	0.04024698	0.105193675	0.058191177	0.51091033	0.2854578
u	0.047932763	0.5732326	0.19390312	0.064228624	0.120702885
ì	0.006932232	0.008558577	0.017149338	0.34135446	0.6260054
k	0.0053258375	0.07414171	0.12686996	0.08597013	0.70769244
a	0.010935199	0.04468938	0.2556235	0.083785586	0.6049664
n	0.00020116303	0.021410644	0.3052299	0.3248848	0.34827352
e	0.0011204282	0.011925841	0.05971215	0.34222192	0.58501965
</S>	0.00020399231	0.025451267	0.2927074	0.246934	0.43470332
