 	non	aveva	cosa	a	fare	</S>
e	0.16649918	0.16650388	0.16649969	0.16650121	0.16660045	0.1673956
n	0.10722841	0.10765918	0.1591312	0.36846885	0.12450458	0.13300769
ì	0.16360687	0.16364758	0.16610725	0.17627299	0.16476834	0.16559695
c	0.16417891	0.16426548	0.16617276	0.17145105	0.16502734	0.1689045
h	0.106323004	0.10707568	0.14286491	0.2990072	0.13251126	0.212218
e	0.1656676	0.1656877	0.16591704	0.16684152	0.16635737	0.16952877
t	0.07601247	0.07653556	0.101254776	0.116987795	0.15147527	0.47773412
i	0.037359364	0.040467042	0.0980373	0.2658777	0.1711679	0.38709068
k	0.014340949	0.0154001415	0.0704381	0.18820308	0.11144686	0.60017085
à	0.0057326765	0.0074224244	0.047993086	0.087532304	0.42953706	0.4217825
m	0.0010183932	0.005078641	0.012815015	0.07040465	0.1556529	0.7550304
i	0.00010962045	0.0009060677	0.0030708537	0.008273185	0.8920797	0.09556054
</S>	1.5081567e-05	0.0012002627	0.000525756	0.0064335745	0.7359635	0.25586185
