 	non	mangiare	la	sera	</S>
m	0.20016989	0.19924611	0.19970618	0.19956605	0.2013118
i	0.17232981	0.19322492	0.18988052	0.18638244	0.2581823
f	0.11853513	0.13624035	0.1341479	0.17155237	0.43952426
a	0.16537991	0.21095797	0.24071708	0.19022948	0.1927156
i	0.032885477	0.047020197	0.049693443	0.10921846	0.7611824
o	0.02718119	0.17280734	0.27121547	0.3267163	0.20207973
v	0.015593752	0.09299341	0.16605318	0.20501004	0.5203496
r	0.040343545	0.09378931	0.17843129	0.5926044	0.094831474
à	0.033887498	0.0752932	0.13361847	0.15086567	0.60633516
i	0.00087980286	0.0023592631	0.008012931	0.09010943	0.8986386
</S>	0.0003621855	0.0038835274	0.034235805	0.30419558	0.65732294
