 	deve	essere	bianco	</S>
è	0.20938413	0.20966546	0.22883984	0.35211053
n	0.24381319	0.24383906	0.24642402	0.26592374
a	0.1883424	0.1884462	0.2159882	0.40722322
è	0.13060147	0.124817364	0.22336401	0.52121717
n	0.05670844	0.07042129	0.35357156	0.51929873
e	0.018528454	0.02407729	0.15390174	0.8034925
à	0.011959041	0.014830347	0.85847884	0.11473179
s	0.0015987237	0.016715253	0.7658284	0.2158577
p	0.0026905297	0.019241285	0.8354609	0.1426073
r	0.00029371647	0.0103392	0.7326999	0.2566673
o	0.0038328066	0.049506743	0.63913935	0.3075211
</S>	0.0017908142	0.098878495	0.33212727	0.5672034
