 	le	melanzane	vogliono	girate	</S>
e	0.19987684	0.19987425	0.19988081	0.20002787	0.2003402
m	0.19754092	0.19795433	0.202758	0.20070826	0.20103851
a	0.18918256	0.18909656	0.19621466	0.22621727	0.19928893
r	0.19021173	0.19059697	0.19844125	0.20879851	0.21195154
a	0.16357152	0.16385981	0.16738065	0.16963352	0.3355545
n	0.18492265	0.18589869	0.19091316	0.1937924	0.24447317
g	0.12074832	0.124259	0.16412659	0.14239313	0.4484729
i	0.18289846	0.18360536	0.19077198	0.18936221	0.25336197
à	0.12798773	0.13716839	0.25621033	0.2514379	0.2271956
n	0.078705676	0.07351909	0.091977574	0.23907548	0.5167222
e	0.048445795	0.04853192	0.0511524	0.08363106	0.76823884
e	0.058530584	0.07985548	0.21615331	0.13175619	0.5137044
t	0.03847563	0.03430589	0.13732235	0.3445349	0.4453612
è	0.0055567827	0.005002478	0.016189465	0.093150795	0.8801005
l	0.029070185	0.08631772	0.13917573	0.12178788	0.6236485
u	0.0071744127	0.0064350227	0.019524584	0.291449	0.675417
n	0.006694172	0.013069158	0.017484134	0.08098677	0.8817658
v	0.0054139816	0.00571916	0.010107244	0.037729356	0.94103026
o	0.0027869567	0.0034874207	0.017279224	0.14052352	0.83592284
t	0.0002614944	0.0005320123	0.0020426721	0.3859876	0.6111762
i	0.00040124444	0.00064379146	0.045207467	0.72370726	0.23004022
m	6.6321365e-05	0.00031602714	0.0019731345	0.81845915	0.17918539
m	0.00015254882	0.00021286203	0.0040135593	0.13063137	0.8649897
è	3.497903e-05	7.205329e-05	0.001581989	0.17095987	0.8273511
n	0.00013685603	0.00023432932	0.006744312	0.29292566	0.69995886
e	0.000115000665	0.00042030527	0.0016380803	0.2043746	0.793452
</S>	8.520237e-05	0.00042952	0.0031644192	0.7174904	0.27883053
