 	non	li	aspettiamo	più	</S>
e	0.19996747	0.19993451	0.1999481	0.20001462	0.2001352
t	0.18001558	0.19526319	0.24775425	0.1823258	0.19464117
u	0.1807937	0.19991559	0.2458381	0.18566252	0.18779
s	0.1418197	0.2154252	0.25912344	0.15393466	0.22969696
m	0.04326068	0.37610334	0.27350166	0.2027712	0.10436317
è	0.09024399	0.19254492	0.111174054	0.28274274	0.32329428
n	0.12059531	0.104403414	0.03992257	0.3559698	0.3791089
u	0.13955177	0.22103553	0.1462518	0.15160955	0.34155133
m	0.03249636	0.10260016	0.09097878	0.11182848	0.66209626
e	0.011528992	0.019390868	0.06777162	0.2704713	0.63083726
p	0.005290083	0.018694034	0.046456214	0.572559	0.35700068
l	0.0060299076	0.008347999	0.010940303	0.17309646	0.8015853
è	0.019627165	0.018134711	0.019008545	0.21596894	0.72726065
o	0.012734957	0.0022086783	0.10656851	0.5095001	0.36898777
</S>	0.012741561	0.0011112883	0.0069079557	0.8500392	0.12920003
