 	sta	seduta	nel	giardino	nel	giardino	</S>
s	0.14285482	0.14285971	0.1428254	0.14283258	0.14288959	0.14284064	0.14289722
t	0.14277557	0.14277218	0.14277643	0.14286208	0.14293392	0.1429203	0.14295955
e	0.14281484	0.14281082	0.14281616	0.14289801	0.14286454	0.14285953	0.14293607
k	0.11981526	0.11979232	0.11989701	0.12301816	0.12843049	0.15435998	0.23468679
a	0.14012964	0.1399621	0.14009811	0.1442573	0.14576435	0.14390884	0.14587963
m	0.117872916	0.11788299	0.11730414	0.1220241	0.1296068	0.14690264	0.24840638
m	0.1101478	0.10960317	0.10961487	0.13691339	0.24493521	0.16206506	0.12672053
è	0.084210835	0.081959024	0.08507325	0.13112941	0.124360256	0.17101836	0.3222489
n	0.07397179	0.07270866	0.076968335	0.101631574	0.09543813	0.14530389	0.4339777
i	0.10826229	0.107813895	0.10862982	0.118038416	0.11526887	0.12859026	0.31339642
s	0.07380289	0.067145206	0.07083333	0.17281808	0.14547135	0.120472886	0.34945625
t	0.110158704	0.109197006	0.10899417	0.14263484	0.17891577	0.1631635	0.18693605
o	0.104459584	0.099848576	0.10913555	0.19026417	0.14437851	0.13419846	0.21771511
g	0.0315867	0.017596748	0.033500012	0.076343894	0.14891918	0.25986508	0.43218842
i	0.069921724	0.06673917	0.02323938	0.06541144	0.14382572	0.073845915	0.5570166
a	0.007537114	0.0042164843	0.0037394816	0.021128861	0.05347731	0.16606887	0.7438319
r	0.0022948198	0.0015099575	0.0010267724	0.019171348	0.01892264	0.5389437	0.4181308
d	0.0024443467	0.0021538034	0.0035905968	0.035147298	0.10804268	0.43165842	0.41696286
ì	0.0016089592	0.00094734057	0.0040137665	0.004132592	0.014666599	0.40536243	0.5692683
n	0.0005968251	0.0017997422	0.003312228	0.0055194674	0.0075804135	0.44492853	0.5362628
o	0.0035995394	0.0028655352	0.0032728063	0.010246704	0.027524335	0.2388715	0.7136196
s	0.00016407674	0.0016703188	0.00033353755	0.0016882201	0.009162011	0.43271896	0.5542629
t	0.0012811875	0.0008557027	0.000710691	0.017067758	0.041631993	0.35304573	0.58540696
o	0.00026791243	0.00020811732	0.0008436613	0.0029007485	0.022409637	0.37408742	0.59928244
c	1.2251555e-05	0.00024136365	7.80073e-05	0.001259419	0.01153306	0.84816605	0.13870983
ì	0.00012917334	0.000106751555	0.000121904806	0.0010832021	0.005339014	0.22501424	0.7682057
p	0.00016402674	0.001496369	0.0003919694	0.0017597502	0.05172418	0.5920685	0.35239524
o	3.109525e-06	1.49324405e-05	1.7428796e-05	0.00024804779	0.0028797518	0.84456575	0.152271
</S>	2.6772414e-06	2.430832e-05	2.8610913e-05	0.0004215617	0.016054226	0.7105041	0.27296448
