 	non	aveva	da	stare	</S>
e	0.19961043	0.20005469	0.19968355	0.19988139	0.20076998
n	0.15029235	0.15807022	0.23755272	0.26585183	0.18823291
ì	0.19787538	0.19864288	0.2010973	0.20248905	0.19989544
c	0.1962012	0.19810425	0.1993811	0.20163348	0.20468003
h	0.12378324	0.13978726	0.20363489	0.2860335	0.24676111
e	0.19788848	0.19848967	0.19855359	0.19938882	0.20567948
n	0.05213121	0.06733698	0.079696044	0.12154929	0.6792865
a	0.034880962	0.048046444	0.14013505	0.4706554	0.3062821
s	0.0007897551	0.008465381	0.032109905	0.5069016	0.4517334
t	0.0015942932	0.08057806	0.073803484	0.5152947	0.3287295
a	0.00096046465	0.03470915	0.08808621	0.6901145	0.18612963
s	2.9732482e-05	0.0026277627	0.015593524	0.6869851	0.29476386
ì	4.7919933e-05	0.0040522506	0.0033966166	0.116865434	0.87563777
</S>	6.13715e-05	0.0067914347	0.035870995	0.7392002	0.21807596
