 	è	possibile	che	è	entrato	da	qui	</S>
i	0.124991655	0.12499213	0.12499156	0.124991655	0.1249928	0.12503973	0.12499756	0.1250029
s	0.123148605	0.12323611	0.12315039	0.12323056	0.123379484	0.1318311	0.12569608	0.1263277
o	0.12118947	0.121245705	0.12122166	0.12132713	0.12172619	0.14055695	0.124054596	0.12867829
g	0.12025177	0.120321974	0.12027324	0.12048962	0.1209278	0.14590394	0.12494087	0.1268908
g	0.10376842	0.10755524	0.10331862	0.10358515	0.10645997	0.22528826	0.11126197	0.1387624
è	0.12090859	0.12093949	0.12094392	0.12154407	0.121499754	0.13527851	0.12181468	0.13707094
s	0.11349048	0.11364575	0.11355795	0.11482082	0.11552835	0.15184179	0.11810392	0.15901087
t	0.08381172	0.08541034	0.08504212	0.08496624	0.08807067	0.1517661	0.108965136	0.31196764
e	0.11509366	0.115126595	0.11522264	0.115339614	0.11541603	0.117821224	0.16223305	0.14374718
k	0.10532365	0.10644962	0.105573446	0.107468426	0.10648202	0.11839381	0.13477194	0.21553707
a	0.07527948	0.077414475	0.07553567	0.076256454	0.07999616	0.23963135	0.13644202	0.2394444
m	0.06562398	0.066932745	0.066082984	0.07280662	0.069260925	0.16114193	0.1542848	0.34386605
b	0.03699314	0.039763983	0.037065547	0.03902011	0.05447924	0.39473855	0.23312627	0.16481322
ì	0.032138098	0.03380321	0.05157273	0.09137728	0.051791247	0.12350378	0.242614	0.3731997
k	0.040863954	0.045581646	0.04191393	0.04961067	0.053255092	0.07128773	0.1116461	0.5858409
e	0.009308115	0.011801966	0.010419627	0.010469438	0.0149259595	0.12337289	0.30401224	0.5156898
a	0.0055653923	0.0087623065	0.006174956	0.009297409	0.015938252	0.040833563	0.23568381	0.6777444
p	0.00023393231	0.00047788495	0.00013217327	0.00032886036	0.0013995118	0.007115887	0.891474	0.0988378
ò	0.00062216644	0.00100415	0.00033361404	0.00093143666	0.0050670295	0.020848706	0.7910061	0.18018678
t	2.5236155e-05	6.448723e-05	3.898924e-05	0.00017463154	0.002630538	0.023546824	0.93604493	0.03747449
t	6.59325e-05	9.750801e-05	0.00014296027	0.0004953183	0.00288788	0.016102755	0.93950236	0.040705297
u	1.9129422e-05	5.5864046e-05	0.00014777965	0.00027596828	0.010150094	0.46101364	0.32102785	0.20730959
</S>	4.90115e-06	3.0695105e-06	3.9188226e-06	5.0824765e-05	0.0077464194	0.21810153	0.5375502	0.23653917
