 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.08332946	0.08332953	0.08332946	0.083329394	0.083329394	0.083329335	0.083329394	0.08333023	0.08333416	0.083363734	0.083331876	0.083334036
j	0.077911235	0.077913254	0.07791373	0.07790922	0.077946015	0.07828017	0.08335965	0.0813628	0.087547846	0.08097421	0.07961118	0.1192707
i	0.0767382	0.076749094	0.07675272	0.07674311	0.07686154	0.07713659	0.08220417	0.08056784	0.088073656	0.09273592	0.079474606	0.11596247
n	0.07526994	0.07527028	0.07527074	0.07526994	0.07528687	0.07589299	0.08437574	0.08106934	0.090340704	0.080476336	0.07773828	0.13373889
è	0.07307964	0.07309253	0.07312046	0.07312348	0.07346475	0.074025296	0.08493843	0.08075508	0.093252674	0.08234557	0.077416845	0.14138527
k	0.0652817	0.06530541	0.065356396	0.06535974	0.06597104	0.06790932	0.095752	0.08532474	0.109007195	0.07382923	0.073726565	0.16717659
a	0.07819438	0.07821902	0.07827335	0.07830423	0.07903846	0.07896156	0.08316392	0.08331424	0.09451096	0.084595256	0.08425163	0.09917299
è	0.07456165	0.07456279	0.074565746	0.07456449	0.07461394	0.07527595	0.08478716	0.0810368	0.091333725	0.07822828	0.07731642	0.13915302
n	0.060807046	0.06112188	0.061779976	0.061817832	0.06904375	0.066010855	0.094055995	0.07910139	0.102863826	0.081970096	0.072546385	0.18888097
e	0.0748381	0.07497583	0.075256534	0.075271234	0.07849557	0.07665639	0.08448992	0.07973826	0.087780036	0.07828905	0.07820959	0.13599955
k	0.059745666	0.05974612	0.05974667	0.059733357	0.059858587	0.063472554	0.10086191	0.088867754	0.12249207	0.079775795	0.0732995	0.17239998
a	0.069616586	0.06969582	0.06976312	0.069736406	0.07091955	0.07077992	0.07976048	0.07823555	0.09899609	0.11207828	0.08040027	0.13001795
p	0.04903042	0.04904879	0.04908653	0.049081244	0.0496598	0.058503278	0.11277164	0.100412264	0.12986444	0.09215332	0.08052971	0.17985858
à	0.057272788	0.057828747	0.058850072	0.05884298	0.06996163	0.06339603	0.08459056	0.07085342	0.097228035	0.118241996	0.074357376	0.18857631
c	0.041555177	0.04218511	0.04351289	0.043603614	0.05671917	0.062565506	0.12783979	0.09756268	0.115927964	0.081725344	0.08592866	0.20087409
e	0.032508187	0.033005908	0.03402781	0.03424769	0.04551907	0.041173346	0.08441624	0.07098681	0.15867317	0.100914694	0.079497814	0.28502926
n	0.041510466	0.041550014	0.04163591	0.041608382	0.042929206	0.0544524	0.106276505	0.09663991	0.13443539	0.088974334	0.07848519	0.23150225
a	0.0476567	0.049479082	0.05179903	0.05122173	0.07377831	0.060622398	0.095947586	0.06486431	0.09274695	0.08229014	0.07048445	0.2591093
p	0.030194089	0.030229034	0.030263301	0.030170787	0.031375956	0.0486715	0.085840635	0.08451954	0.15043242	0.17992003	0.082617156	0.21576548
