 	sta	seduta	nel	giardino	</S>
s	0.1998459	0.1998648	0.19996227	0.19988555	0.20044157
t	0.1999606	0.19985949	0.20000622	0.1999922	0.20018148
è	0.20014597	0.19985957	0.1999616	0.19993247	0.20010033
i	0.20382652	0.19684425	0.19931704	0.1981027	0.20190947
k	0.21286334	0.16575867	0.18734714	0.17686753	0.25716332
a	0.18346317	0.17502385	0.18511523	0.18554762	0.2708501
s	0.10195592	0.104323186	0.12730801	0.14281271	0.52360016
i	0.11785753	0.09693875	0.18641135	0.2712708	0.3275215
m	0.08774236	0.062312327	0.16300592	0.12266952	0.5642699
m	0.04848785	0.06378432	0.23387942	0.46442372	0.18942474
è	0.021702271	0.031058788	0.121024504	0.489436	0.33677843
n	0.023996485	0.022367524	0.071329676	0.37955266	0.5027537
i	0.07716956	0.055572715	0.24196443	0.25513405	0.37015927
s	0.0071573956	0.028283566	0.13814874	0.3566351	0.4697753
t	0.009900287	0.012132827	0.060058847	0.30833393	0.60957414
o	0.0059585357	0.0051499326	0.017196653	0.4029303	0.5687646
n	8.377599e-05	0.0012903924	0.024460502	0.4538971	0.52026826
g	0.00089698617	0.002128141	0.0089848405	0.53861177	0.4493783
h	0.0020069722	0.0028782429	0.014341741	0.81860965	0.16216345
i	0.0036621268	0.0019989223	0.04975939	0.35467127	0.5899083
a	4.3255375e-05	0.0027682849	0.030823225	0.8296495	0.1367157
r	3.3823082e-05	0.00042534329	0.0054786373	0.64209	0.35197216
d	0.0008044394	0.0012852821	0.0455402	0.3160443	0.6363258
ì	0.0001136286	0.005333221	0.21772039	0.49777907	0.2790537
n	0.00018274432	0.0067125857	0.07201474	0.40809935	0.5129906
o	1.0754095e-05	0.00028546172	0.009171332	0.7806677	0.20986474
</S>	2.8938923e-05	0.0012610184	0.029857958	0.86050564	0.10834647
