 	viene	fabbricato	</S>
è	0.27086884	0.29069057	0.43844056
r	0.3242776	0.32674268	0.34897974
k	0.3162017	0.32175136	0.3620469
e	0.3228986	0.33588156	0.34121987
t	0.16010356	0.19008796	0.6498085
e	0.07330586	0.09731761	0.8293765
f	0.06134998	0.19195151	0.7466985
a	0.06320501	0.5515421	0.38525295
b	0.022087822	0.69175196	0.2861603
b	0.09248911	0.7749391	0.13257174
r	0.054313615	0.6422226	0.3034638
i	0.0643019	0.44768625	0.48801178
k	0.030030148	0.80456734	0.1654026
à	0.009439361	0.58189976	0.4086609
t	0.007825733	0.7836192	0.20855498
o	0.018360315	0.7379831	0.24365656
</S>	0.033319168	0.80574185	0.160939
