 	ho	finito	di	scrivere	</S>
s	0.19980438	0.20015758	0.20031357	0.19983807	0.19988641
p	0.19822775	0.20358454	0.20024835	0.19879645	0.19914287
ì	0.19837202	0.19948632	0.20198059	0.19912168	0.2010394
c	0.19670634	0.19904737	0.20338309	0.19835503	0.20250812
c	0.14938684	0.26849744	0.24055636	0.16262907	0.17893033
e	0.19572258	0.20327316	0.20249736	0.19746634	0.2010405
t	0.09437823	0.11441892	0.14942944	0.12280455	0.5189689
s	0.020163199	0.33505473	0.3653287	0.15725616	0.12219727
a	0.13998014	0.20572168	0.14801994	0.16828448	0.3379938
à	0.0075445236	0.020821167	0.030073432	0.47818062	0.46338016
t	0.0122652035	0.2509851	0.077133924	0.14785828	0.5117575
s	0.0076144026	0.1211061	0.0903239	0.23654805	0.54440755
e	0.0010419727	0.022454478	0.03498626	0.29253763	0.64897966
g	0.00030356992	0.0026618293	0.0017153011	0.21928705	0.7760322
r	0.0020576701	0.0318708	0.008544938	0.5533206	0.404206
à	0.0014399315	0.037931997	0.05353792	0.45781052	0.44927958
t	0.0008040498	0.0095361555	0.006534937	0.44584692	0.5372779
s	0.001296762	0.0108183995	0.013002414	0.35585648	0.61902595
i	0.0017624719	0.023935728	0.018838765	0.16776508	0.7876979
</S>	0.0022077814	0.06041578	0.04220442	0.4715628	0.42360917
