 	sto	e	cucino	</S>
e	0.2497618	0.24967416	0.2505487	0.25001538
s	0.2214859	0.21130173	0.21186495	0.35534745
t	0.23957123	0.2530923	0.26048002	0.2468564
è	0.25234222	0.23774382	0.25117534	0.25873858
c	0.26701587	0.16835906	0.14070694	0.42391813
e	0.111131825	0.10036684	0.4800682	0.3084331
m	0.07673286	0.06119455	0.040101398	0.8219712
a	0.10855933	0.14956048	0.5608017	0.18107855
r	0.002272959	0.011624937	0.1996646	0.7864375
è	0.030807491	0.013926434	0.22766249	0.7276036
o	0.002785712	0.008450479	0.060691044	0.9280727
</S>	0.0001265786	0.0059876693	0.20317404	0.7907117
