 	lo	posso	finire	di	scrivere	</S>
o	0.16645673	0.16651364	0.16686156	0.16719519	0.16648607	0.16648683
s	0.15151817	0.15492918	0.17618519	0.1952911	0.1533117	0.16876464
ò	0.12610981	0.13719212	0.20496131	0.2658734	0.12932834	0.13653503
z	0.1341439	0.1355023	0.1445703	0.15275668	0.15431626	0.27871057
o	0.06044482	0.07993452	0.241874	0.46895197	0.07016356	0.078631096
s	0.11893217	0.12778449	0.18424076	0.23424935	0.12690271	0.20789047
p	0.040772818	0.058263503	0.22919054	0.4671203	0.073990524	0.13066228
i	0.095328435	0.10291777	0.15338728	0.1988679	0.16344592	0.2860527
c	0.0620418	0.07995618	0.20757782	0.3135056	0.102237366	0.23468125
c	0.043675974	0.10203078	0.2791846	0.3928088	0.09677157	0.085528284
è	0.06756184	0.07161368	0.095582746	0.12792757	0.21380027	0.42351392
t	0.022543428	0.025475508	0.051112093	0.039302334	0.08861203	0.7729546
s	0.031952713	0.0812248	0.27994117	0.3717573	0.09711284	0.13801117
i	0.03463669	0.041163128	0.10208024	0.15536688	0.13570586	0.53104717
à	0.0059111696	0.009048476	0.03524207	0.029038366	0.23134714	0.6894128
t	0.008521568	0.032270804	0.03667141	0.04110723	0.25974783	0.6216811
s	0.018577335	0.0976241	0.059593152	0.06979355	0.42893293	0.32547894
e	0.0018466038	0.0041668084	0.016756473	0.040038917	0.18768185	0.74950933
g	0.00021817483	0.0016641009	0.0018341972	0.0026602782	0.3056644	0.6879589
r	0.0025501202	0.0030064327	0.0074190223	0.013568515	0.58985627	0.3835997
à	0.0040054116	0.022739477	0.05918154	0.14658667	0.32094073	0.4465461
t	0.00065338716	0.012005536	0.007267062	0.016163984	0.46730876	0.49660125
s	0.0026301872	0.0054722484	0.005905574	0.018550077	0.3070646	0.6603773
i	0.0010087396	0.003585412	0.0035668216	0.022832116	0.16561887	0.803388
</S>	0.0013036327	0.0064851525	0.004093024	0.04686186	0.3912807	0.54997563
