 	la	pasta	vuole	sale	</S>
i	0.19936334	0.19952129	0.19957745	0.20194434	0.1995936
p	0.1954019	0.20242333	0.20081006	0.19745049	0.20391417
à	0.19206838	0.19848925	0.19950296	0.20358345	0.20635602
s	0.1750161	0.18182614	0.18221527	0.17942668	0.2815158
t	0.041534506	0.07592209	0.20591931	0.22752395	0.44910017
a	0.078764476	0.08261692	0.13280906	0.40442273	0.3013869
t	0.10494218	0.1952513	0.13228369	0.13157749	0.43594542
è	0.0130349	0.03282012	0.08770699	0.28959453	0.5768435
l	0.063451484	0.15384848	0.0963411	0.22042707	0.4659319
i	0.006772042	0.031036537	0.08183055	0.15650952	0.7238514
à	0.008336661	0.018486945	0.021214604	0.16565342	0.78630835
l	0.0012148132	0.013975776	0.016098505	0.7522625	0.21644844
a	0.0010660305	0.010133511	0.022218658	0.6192669	0.34731486
</S>	5.824797e-05	6.517929e-05	0.0052772597	0.88626593	0.10833343
