 	nella	pasta	vuole	sale	</S>
s	0.19982196	0.1998764	0.19993953	0.20044968	0.19991238
t	0.18425679	0.18456872	0.1856212	0.2540116	0.19154166
i	0.19378328	0.19387941	0.19414644	0.22169547	0.19649538
p	0.18906227	0.19547881	0.18467504	0.18180983	0.24897408
à	0.17977475	0.18533331	0.19001968	0.23534669	0.20952556
s	0.14552367	0.15061073	0.14536455	0.14586248	0.41263857
t	0.040689047	0.072795965	0.17771193	0.20946135	0.49934176
a	0.07668515	0.07949933	0.10482369	0.39478824	0.34420356
t	0.15972471	0.19525349	0.13251995	0.1158919	0.39661002
è	0.013312294	0.03980103	0.08864799	0.33414522	0.52409345
l	0.11720918	0.09506861	0.15697765	0.2912598	0.33948478
i	0.0051669544	0.02486823	0.06551266	0.1636277	0.74082446
à	0.002049335	0.0028807495	0.0067973114	0.20043738	0.78783524
l	0.000904247	0.0019693992	0.0047000963	0.8771119	0.11531438
a	0.00068446266	0.0035513756	0.0069847754	0.7665977	0.22218174
</S>	8.027308e-05	0.00016673468	0.017892743	0.88172495	0.10013524
