 	non	so	cosa	stai	scrivendo	</S>
e	0.1666599	0.16666245	0.16665916	0.166665	0.1666599	0.16669361
n	0.15112035	0.15216169	0.15363242	0.23703136	0.1527965	0.15325768
e	0.16332142	0.16362861	0.16364709	0.17615698	0.16377085	0.1694751
t	0.12513301	0.1309467	0.12907305	0.33734888	0.1325846	0.14491382
s	0.09104534	0.09379522	0.102290936	0.40768063	0.1024373	0.20275055
è	0.122127235	0.13043752	0.1248223	0.281215	0.13053589	0.21086212
r	0.06088178	0.076869935	0.0671161	0.25512356	0.10063811	0.43937054
o	0.11778622	0.15372503	0.10177384	0.10700742	0.11017222	0.4095353
e	0.046538614	0.11411633	0.07626773	0.28256503	0.121357635	0.3591547
s	0.01427649	0.030687803	0.035824776	0.60305834	0.05304691	0.26310566
ù	0.025026962	0.03252902	0.03718665	0.63788813	0.06756574	0.19980344
t	0.015700005	0.061822124	0.06037343	0.2919471	0.336894	0.23326327
i	0.05033915	0.055488307	0.045352377	0.18454246	0.13299261	0.5312851
s	0.003426455	0.014852611	0.018433157	0.06325019	0.22992536	0.6701122
t	0.015260649	0.038891383	0.019154262	0.35608277	0.11164092	0.45896998
e	0.010514771	0.06665464	0.045019444	0.10221341	0.18298809	0.59260964
g	0.00021782113	0.00033484615	0.0011555554	0.009726623	0.4294368	0.55912834
r	0.0012024108	0.0046015815	0.010439022	0.0379076	0.6432108	0.30263856
à	0.002518558	0.01773299	0.010509244	0.070904024	0.21816398	0.6801712
f	0.002103416	0.002029736	0.01139773	0.04282791	0.6158792	0.32576203
i	4.511046e-05	0.00012243936	0.0007521784	0.005979093	0.91877675	0.07432437
</S>	0.00014115837	9.981419e-05	0.0011002875	0.044267014	0.45573142	0.49866024
