 	l	ho	sentito	quando	veniva	</S>
t	0.16662638	0.16662791	0.16672672	0.16666211	0.1666855	0.1666714
o	0.16485772	0.16492288	0.16921368	0.16680177	0.16748272	0.16672122
n	0.16055614	0.16063923	0.16171803	0.18917386	0.16274025	0.16517243
ì	0.13486154	0.13504647	0.14819986	0.19610116	0.16016842	0.22562256
k	0.15289606	0.15284917	0.15319918	0.16255857	0.15869589	0.21980108
u	0.07009867	0.07561961	0.25173053	0.12809749	0.21791978	0.25653395
s	0.120171696	0.12025241	0.124920376	0.25713578	0.14988038	0.22763939
a	0.0072333063	0.027155675	0.059689593	0.24531147	0.12175103	0.53885895
m	0.010468525	0.010301533	0.015993416	0.17151678	0.1273495	0.66437024
ò	0.0023640026	0.0038126188	0.04169064	0.050622806	0.34071934	0.56079054
t	0.0019805846	0.0022180479	0.0030597122	0.012484354	0.42937642	0.5508809
t	0.00041207642	0.0014598423	0.0046362067	0.021187343	0.3515407	0.62076384
e	0.00015570121	0.00022642211	0.0005971373	0.007405328	0.12690882	0.86470664
è	6.952473e-06	1.8599061e-05	3.577392e-05	0.00016955541	0.39919963	0.6005695
r	1.3110373e-05	2.9221284e-05	0.00040011446	0.00025560614	0.86615497	0.13314693
k	0.00013853905	0.0006640076	0.0024106964	0.009210182	0.60237676	0.3851998
a	1.4536596e-06	1.3856341e-05	4.177658e-05	0.0013335284	0.88912416	0.10948521
t	3.0767e-06	2.6333193e-05	0.00010936144	0.00034986887	0.7128125	0.28669894
o	2.1466421e-05	4.600427e-05	0.00020434168	0.002894719	0.8743959	0.12243759
</S>	2.5175445e-05	0.00017592625	0.0003060185	0.011461433	0.7675014	0.2205301
