 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.096787795	0.10275846	0.19026738	0.16904743	0.10605353	0.11458874	0.22049674
c	0.14044945	0.14058979	0.14468475	0.14346509	0.14211792	0.14063527	0.14805777
h	0.13493769	0.13620941	0.15818153	0.15221399	0.13880734	0.13848989	0.14116018
a	0.12659758	0.12955764	0.1789194	0.16539982	0.13123924	0.13461311	0.1336731
n	0.12928298	0.12968051	0.14217377	0.13919482	0.1354902	0.13680491	0.18737286
a	0.12674652	0.12619373	0.13092321	0.12937808	0.13520835	0.12749311	0.224057
a	0.09034586	0.092934884	0.15552352	0.13308308	0.20570976	0.1020743	0.2203286
g	0.036584593	0.038652264	0.106443815	0.13455789	0.2726188	0.06773697	0.34340566
o	0.05681268	0.049708195	0.11468171	0.114098474	0.30468154	0.079795964	0.28022146
r	0.018777784	0.03536044	0.08349853	0.23449926	0.25346828	0.04412516	0.3302706
à	0.013598005	0.041474096	0.11532923	0.1341432	0.30032834	0.09420584	0.30092123
s	0.026751814	0.039947797	0.105328426	0.23488624	0.11598199	0.038102433	0.43900126
o	0.061862126	0.07188758	0.14090344	0.10758539	0.18045284	0.09095696	0.34635165
o	0.013678348	0.0532281	0.14594756	0.14353551	0.07214558	0.15131707	0.42014784
s	0.006364594	0.0081944335	0.066669986	0.19945456	0.13223788	0.10839938	0.47867915
s	0.005792303	0.032887015	0.08692211	0.281827	0.1316944	0.18582475	0.27505246
o	0.011310569	0.072573565	0.12760684	0.17352512	0.37288323	0.13641962	0.10568108
m	0.0020805448	0.002246875	0.0030322764	0.0050500743	0.023426427	0.29838464	0.6657792
ì	0.00096636434	0.00209731	0.006067587	0.02000922	0.050373357	0.41889516	0.501591
k	0.0015852954	0.0006061121	0.0020474484	0.004462587	0.0076408284	0.59180206	0.39185563
a	0.002132538	0.0044017253	0.017080266	0.10997171	0.08775756	0.1098	0.66885614
m	0.00017601204	2.7293128e-05	0.00020301118	0.00044042178	0.005360449	0.75324696	0.24054581
è	0.00027893478	0.001991647	0.0049153985	0.012473192	0.012287389	0.49837926	0.46967417
r	0.00025157773	0.00063792465	0.0007604035	0.0010463883	0.042146284	0.30329856	0.65185887
i	0.00042546043	0.00035265854	0.0005178322	0.0010877332	0.015286905	0.42053568	0.5617937
</S>	8.1184044e-05	3.892531e-05	6.0611073e-05	0.00015495792	0.006448605	0.65668404	0.3365316
