 	che	vende	buon	pane	</S>
k	0.19932042	0.19993755	0.19932224	0.20028503	0.20113476
a	0.19818652	0.20401296	0.19849475	0.19829814	0.20100762
i	0.15376525	0.21162236	0.191748	0.15827367	0.2845907
p	0.09501093	0.49801084	0.15438546	0.082582004	0.17001082
u	0.13696235	0.40961063	0.14952882	0.13522053	0.16867775
l	0.08721114	0.4570632	0.1343643	0.07991754	0.24144377
ì	0.09066375	0.4572751	0.15669271	0.10307387	0.19229457
t	0.06703551	0.1890432	0.06897989	0.10145716	0.57348424
s	0.06084972	0.44790152	0.05467349	0.1089182	0.32765713
o	0.03597846	0.07192408	0.039121192	0.31754404	0.5354323
m	0.006139655	0.08557299	0.035083268	0.1894589	0.6837452
ì	0.0013179876	0.05939875	0.02396277	0.6040446	0.3112759
k	0.00084824883	0.043767933	0.08957325	0.19918543	0.66662514
a	0.0021179167	0.07042953	0.03832787	0.69946504	0.18965963
l	0.00019361606	0.027094426	0.5567882	0.3538297	0.06209406
ò	0.0008185945	0.047254093	0.04014076	0.41561472	0.4961718
</S>	0.000109171844	0.07684564	0.23121135	0.552997	0.13883682
