 	era	molto	stanco	</S>
ì	0.22592832	0.2330028	0.2483678	0.29270107
o	0.24625392	0.24860185	0.25054383	0.2546004
n	0.23989128	0.24923003	0.24431905	0.26655966
e	0.2483636	0.24947058	0.24587588	0.25628993
p	0.2672127	0.1367717	0.34666696	0.24934874
o	0.26420283	0.25175354	0.15171002	0.33233356
d	0.20954216	0.25646117	0.39227232	0.14172438
d	0.08629896	0.32903206	0.14683105	0.437838
h	0.02776558	0.09766685	0.20314206	0.6714255
ì	0.07830927	0.055952493	0.516255	0.34948328
s	0.06734683	0.0656591	0.5841819	0.28281215
t	0.019325769	0.15482217	0.3010628	0.5247892
r	0.008777392	0.025543204	0.85979736	0.10588199
à	0.013824359	0.044698577	0.7806939	0.16078317
k	0.0048082243	0.014918154	0.8085056	0.17176796
k	0.0056831534	0.08073579	0.7229335	0.19064757
o	0.0029742548	0.19363227	0.5505876	0.25280586
</S>	0.040111385	0.20137887	0.58555305	0.17295669
