 	l	anno	che	viene	devo	mangiare	molti	dolci	</S>
o	0.11110907	0.111109324	0.11110898	0.11110898	0.11110907	0.111112885	0.111113645	0.111111015	0.11111695
c	0.110173106	0.11025979	0.11016705	0.11015772	0.11025517	0.112891756	0.1122377	0.11083737	0.11302034
h	0.108968966	0.108993575	0.10897162	0.10895824	0.10920974	0.11653805	0.117552556	0.11012457	0.110682696
r	0.11109469	0.11109469	0.11109461	0.11109452	0.11109698	0.11113055	0.11110732	0.11110605	0.11118058
ò	0.11070671	0.11070907	0.11069995	0.11068627	0.110697836	0.11294172	0.11101009	0.11100306	0.11154529
n	0.106105246	0.10612103	0.106059924	0.10596925	0.10617011	0.121029645	0.10787792	0.10690204	0.13376488
o	0.1055191	0.10552217	0.10551613	0.10551025	0.10552724	0.10668403	0.105773166	0.105877	0.15407091
k	0.097418115	0.0974474	0.09735139	0.097218014	0.09734806	0.11961789	0.10028583	0.099137284	0.19417603
a	0.10153282	0.102088034	0.10150981	0.10153126	0.10216338	0.109403625	0.10945155	0.10716519	0.16515432
m	0.080438636	0.08051932	0.080357485	0.08019922	0.08054549	0.10845877	0.08913527	0.09854668	0.30179918
b	0.0675726	0.072892696	0.06740557	0.067145236	0.07155147	0.21504499	0.23325413	0.098334365	0.10679894
è	0.04614671	0.04617038	0.046121895	0.04621602	0.10115267	0.12239604	0.09728166	0.11575571	0.37875897
n	0.04451917	0.04464072	0.044209767	0.04359558	0.04788958	0.13286538	0.061961815	0.06522186	0.5150961
n	0.05854895	0.06297471	0.05835416	0.058471814	0.06078845	0.0666335	0.070838995	0.102985	0.46040446
i	0.07198201	0.07201063	0.07194176	0.071873076	0.0743966	0.08754038	0.076632105	0.087566905	0.38605657
è	0.0150668565	0.015673425	0.013628472	0.010577913	0.01591619	0.10803006	0.073368765	0.095624514	0.6521138
n	0.0067964783	0.0121567575	0.0063743093	0.0061234613	0.0142055135	0.1289556	0.11334601	0.065820165	0.6462217
a	0.014226595	0.032134715	0.012592368	0.012595818	0.0244658	0.04835227	0.09247135	0.0872444	0.6759166
f	0.00031780702	0.0005140996	0.00027366972	0.00016806324	0.0012093516	0.01688823	0.06851471	0.24217372	0.6699403
à	0.00025055234	0.0005426466	0.00022179476	0.00023246398	0.0024544287	0.01948623	0.037955787	0.19939663	0.73945946
o	0.00051674026	0.0011740363	0.00068064453	0.00097288337	0.0037639863	0.04652339	0.17793158	0.2403468	0.52808994
p	2.4964378e-05	4.316474e-05	1.1716948e-05	6.8908707e-06	0.00012568971	0.002525565	0.026141845	0.7665021	0.20461811
o	0.0012941102	0.0015685519	0.00059666956	0.00049792265	0.0035148156	0.031016378	0.092229344	0.47109723	0.39818498
d	1.8326837e-05	1.9510118e-05	6.7828832e-06	2.446684e-06	0.00011873939	0.0008978006	0.011565318	0.61882937	0.36854166
d	8.0522186e-05	0.0001277379	4.965926e-05	3.8027574e-05	0.0012339414	0.008784122	0.039926466	0.22929944	0.7204601
h	1.9776524e-05	5.1168732e-05	6.054329e-05	0.00020126176	0.0009943498	0.04360128	0.4587939	0.28843555	0.20784217
à	6.7924746e-05	9.209888e-05	7.0401504e-05	9.406218e-05	0.000949759	0.0013576103	0.12907976	0.3289587	0.5393297
g	7.838329e-05	0.0002487553	9.093608e-05	0.00033243376	0.0016265413	0.0047205444	0.032160684	0.6158627	0.3448791
l	4.8120244e-05	6.5837594e-05	2.3683388e-05	1.1945894e-05	0.00024002437	0.003151753	0.04033186	0.82920635	0.12692031
i	6.0939197e-05	0.00013890896	5.2476484e-05	5.480844e-05	0.00045743817	0.017227728	0.0410122	0.39326844	0.54772705
c	5.587683e-06	1.7451912e-05	2.721978e-06	1.0791371e-05	0.00010716377	0.0017213968	0.16002217	0.67023593	0.1678768
è	2.250569e-05	5.0767925e-05	1.3650977e-05	1.8648943e-05	0.0005080486	0.007914834	0.054588098	0.5003713	0.43651223
a	3.2975113e-05	4.2985637e-05	2.6736654e-05	3.240786e-05	9.257215e-05	0.0023436663	0.07812421	0.61784023	0.30146426
</S>	6.3142297e-06	9.904259e-06	2.2111783e-06	3.4566144e-06	0.000121774465	0.0006308106	0.062037896	0.6487965	0.28839108
