 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.16654839	0.16655563	0.16658169	0.16685592	0.16674101	0.16671735
s	0.16491298	0.1649452	0.16504489	0.16562918	0.16540492	0.17406286
o	0.15995367	0.16022396	0.16196254	0.16426827	0.18218179	0.17140976
s	0.1635839	0.16368377	0.16418105	0.16698971	0.16483785	0.17672367
e	0.0910023	0.09460417	0.119538516	0.15725552	0.29721656	0.24038297
è	0.14033444	0.14059153	0.14285292	0.15922359	0.14829431	0.2687032
m	0.068685114	0.07238345	0.08375596	0.23696402	0.12899482	0.40921664
b	0.064388	0.07343445	0.09847601	0.34508345	0.20464791	0.21397018
i	0.07906743	0.07981571	0.086130664	0.10109994	0.20476638	0.44911993
à	0.07861694	0.09276657	0.10398775	0.12712494	0.11965091	0.47785288
t	0.02334334	0.032731205	0.03738141	0.13291886	0.16284204	0.61078316
t	0.006944828	0.012376597	0.020128077	0.07360344	0.27743566	0.60951144
i	0.00554546	0.0064231814	0.011923486	0.022877228	0.5605266	0.392704
f	0.0010618563	0.0031345547	0.0055415155	0.014232314	0.29282734	0.68320245
i	0.00040052447	0.0010852206	0.0048569837	0.026724407	0.57141536	0.39551747
n	0.00013468205	0.00025563172	0.002048621	0.007278042	0.6432462	0.34703678
è	0.0012747698	0.0022749817	0.0054355613	0.018302321	0.7253943	0.24731804
s	0.00033666476	0.0016183689	0.01730855	0.027350724	0.7958484	0.15753725
t	0.0001243046	0.0005423236	0.0021752513	0.011143714	0.8949791	0.09103534
r	7.267087e-05	0.0006717333	0.008183305	0.115388535	0.5016919	0.3739919
a	1.262935e-05	0.00013543031	0.0017055178	0.045700815	0.56825775	0.3841879
</S>	0.0005409934	0.00014165006	0.005733672	0.037025947	0.8440465	0.11251125
