 	ho	cosa	a	fare	</S>
è	0.19822408	0.19848377	0.19895437	0.200815	0.20352286
c	0.19922104	0.19958007	0.20081145	0.19964617	0.20074129
h	0.18778263	0.191562	0.21264327	0.19312543	0.21488671
o	0.1906971	0.19258702	0.1967029	0.20575021	0.21426278
t	0.15120569	0.16089992	0.19531092	0.16531394	0.3272695
i	0.01755745	0.048253402	0.19506337	0.38886875	0.35025704
k	0.024569398	0.055168837	0.105858356	0.101853326	0.71255004
à	0.0040062703	0.01852184	0.07715014	0.5819977	0.31832403
i	0.005450405	0.010204926	0.029165274	0.12385756	0.8313219
</S>	0.00042696996	0.0026471554	0.020380693	0.55871785	0.41782737
