 	non	ti	dimentichiamo	mai	</S>
e	0.19998288	0.20000073	0.19998303	0.19997998	0.20005338
s	0.19109909	0.19271535	0.22558519	0.19543888	0.19516145
e	0.19435298	0.19548588	0.2132499	0.19639687	0.20051445
a	0.17206745	0.17896976	0.25902376	0.18713832	0.20280069
l	0.0624955	0.12177864	0.48633373	0.1637757	0.1656165
l	0.098622546	0.11726057	0.51897866	0.15644653	0.10869166
i	0.18685839	0.19100435	0.22932932	0.19285934	0.19994861
m	0.025406415	0.047435097	0.08870782	0.1715588	0.6668919
o	0.02285868	0.055184845	0.7345223	0.13083759	0.056596577
n	0.010850197	0.039437212	0.20560367	0.13641481	0.6076941
ù	0.020626169	0.083509326	0.46037328	0.12491411	0.3105771
m	0.012978132	0.050055224	0.08183786	0.081464715	0.77366406
e	0.020598216	0.072593935	0.18306516	0.054050393	0.6696923
m	0.00055460364	0.002832991	0.0023216738	0.12413196	0.87015873
à	0.0020268206	0.06476707	0.11610028	0.17275251	0.6443533
i	0.0015998472	0.01155253	0.016680138	0.16800976	0.80215776
</S>	7.656883e-05	0.0015073459	0.001779643	0.29727972	0.69935673
