 	forse	non	li	ha	a	casa	</S>
f	0.14254193	0.14257912	0.14257456	0.14268686	0.143211	0.14304623	0.14336033
ò	0.14178209	0.14177321	0.14187437	0.14220773	0.14368151	0.14316472	0.14551634
r	0.14275084	0.14259693	0.14268845	0.14272547	0.14281458	0.14269227	0.14373146
s	0.11634694	0.11634614	0.11643583	0.11976037	0.11879267	0.17306413	0.23925392
i	0.14248525	0.1424847	0.14248589	0.14257006	0.14252862	0.14265156	0.1447939
e	0.12103118	0.11919414	0.12023369	0.13019341	0.12328477	0.124916196	0.26114663
t	0.08518278	0.087247096	0.09250293	0.12036293	0.23387292	0.1491425	0.23168884
u	0.06575151	0.06732879	0.07914704	0.12220258	0.28623784	0.2047478	0.17458445
s	0.0746593	0.04557708	0.071018405	0.10346985	0.21876492	0.1250931	0.36141732
è	0.0050289948	0.0052740294	0.015655303	0.054670524	0.07173881	0.43156993	0.41606238
c	0.083123185	0.022292731	0.1301001	0.1519739	0.18111391	0.1413093	0.29008684
h	0.0124873305	0.01283258	0.016871776	0.08354007	0.17203595	0.30545184	0.39678043
i	0.026253099	0.021745231	0.023818107	0.03702628	0.032846738	0.16038707	0.6979235
è	0.004942158	0.0033860882	0.009561231	0.01833849	0.03459536	0.27708057	0.65209615
s	0.0019474367	0.0008724336	0.0069500837	0.032660473	0.04558583	0.7245636	0.18742014
s	0.0008244505	0.0011480411	0.008964761	0.037788518	0.04481295	0.6669019	0.23955941
u	0.00019676653	0.0007171313	0.0017091761	0.01088117	0.06831667	0.64896935	0.26920974
</S>	9.568934e-06	0.00031451424	8.9054454e-05	0.0017464466	0.027526341	0.7271624	0.24315168
