 	avete	cucinato	le	verdure	</S>
m	0.12688008	0.12907238	0.17047133	0.15281859	0.42075756
a	0.19406128	0.19807822	0.21444502	0.19685654	0.19655894
r	0.11617183	0.13213742	0.28329653	0.13522771	0.3331665
è	0.06652997	0.08602953	0.28805068	0.19200319	0.36738667
t	0.124875315	0.123642996	0.13663507	0.12528786	0.48955882
s	0.15127829	0.18753402	0.31207576	0.17624961	0.17286226
a	0.05946421	0.07450043	0.20446666	0.17145759	0.49011108
t	0.033038136	0.031284943	0.12091656	0.030610695	0.78414965
o	0.05213244	0.13832627	0.34215426	0.18160492	0.28578213
t	0.0015592837	0.007714003	0.18496601	0.25607067	0.54969007
a	0.012544977	0.031007363	0.13934332	0.69968665	0.11741773
l	0.00015332791	0.0008738015	0.0738272	0.7477803	0.1773653
à	0.0011626512	0.0031882268	0.059869524	0.19018006	0.74559957
c	0.00010687296	0.00047923182	0.51400226	0.34799263	0.13741906
h	0.00040567404	0.0016643369	0.093371406	0.3774105	0.52714807
a	0.00010726677	0.0008947653	0.29477295	0.37456518	0.3296598
n	0.00012071358	0.0059696776	0.23995137	0.45688686	0.29707134
a	0.00019549039	0.00050952943	0.25009376	0.61608255	0.13311872
</S>	0.00032559538	0.0048245415	0.25567728	0.40121496	0.33795765
