 	non	sapeva	dove	a	stare	</S>
e	0.16665131	0.16665143	0.16665182	0.16665193	0.16665678	0.16673677
n	0.15334359	0.15519626	0.17125192	0.1771521	0.18228559	0.16077052
ì	0.16597496	0.16618124	0.16678521	0.16707915	0.1674836	0.16649584
s	0.16567844	0.16649842	0.16630545	0.16667038	0.16730548	0.16754179
s	0.15358455	0.15342389	0.15562133	0.15641147	0.19062921	0.19032955
e	0.16640136	0.16644733	0.16644998	0.16647984	0.16685265	0.16736887
r	0.10250732	0.11923837	0.10586621	0.11011931	0.12207197	0.4401968
e	0.13959305	0.14124781	0.14875542	0.15261672	0.21234226	0.20544474
p	0.048847888	0.0716777	0.060313523	0.067020185	0.092942454	0.6591983
u	0.055540126	0.064862326	0.12383213	0.14879556	0.39294186	0.21402805
n	0.0036319138	0.015617409	0.027935326	0.04161551	0.24793722	0.6632626
a	0.015003712	0.03150556	0.079413526	0.10534679	0.6273373	0.14139311
s	5.8970894e-05	0.0018873134	0.002407082	0.006912518	0.3646756	0.6240585
t	0.00021283547	0.005732742	0.003435921	0.019920077	0.72358125	0.2471172
a	0.0023026497	0.008145808	0.025595492	0.05710719	0.75296843	0.15388048
s	1.699445e-05	0.00012519401	0.0015283816	0.016292281	0.6111661	0.37087104
ì	1.3085237e-05	0.00029764415	0.002095356	0.0072941044	0.18271385	0.80758595
</S>	3.8775514e-05	0.0002701282	0.0021993008	0.014496193	0.8616954	0.12130022
