 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.090907656	0.09090807	0.09090752	0.09090759	0.090907454	0.090907454	0.09090773	0.0909096	0.09091404	0.09090828	0.09091467
a	0.08924124	0.08924185	0.089242324	0.089278966	0.08924505	0.08928775	0.09067314	0.09186608	0.08981198	0.09113775	0.10097385
p	0.08974502	0.089746945	0.0897442	0.089744076	0.08976756	0.08975003	0.08977318	0.08993571	0.09032726	0.09035601	0.10110996
e	0.090293474	0.09033861	0.09028101	0.090729624	0.09027343	0.09027598	0.09123141	0.09097764	0.091618806	0.09066708	0.09331299
d	0.088704616	0.08872397	0.08869743	0.08871693	0.08870888	0.08870738	0.08903481	0.09019732	0.09190258	0.08922324	0.10738288
ì	0.08843645	0.08845615	0.08843138	0.08861218	0.08842868	0.088437185	0.089101374	0.09163068	0.096932486	0.09024271	0.10129075
a	0.085707046	0.085707836	0.08572281	0.08721816	0.08573295	0.08574361	0.08922124	0.08777884	0.0870984	0.0864409	0.13362819
m	0.08492441	0.085249245	0.08480229	0.08500964	0.08481142	0.084793694	0.08610258	0.09228815	0.10494311	0.08672005	0.12035534
i	0.0870635	0.08718913	0.087018065	0.08712742	0.08699543	0.087008774	0.0876997	0.095112614	0.111232445	0.08953407	0.09401886
n	0.08237748	0.082441784	0.08235409	0.082468145	0.08240204	0.08240922	0.08416921	0.08845503	0.09286408	0.084388085	0.15567085
c	0.07693591	0.07695469	0.076970905	0.080803216	0.07701137	0.077098496	0.08835584	0.08811968	0.08681614	0.0837767	0.18715708
i	0.09001263	0.090012975	0.09001271	0.09003475	0.09002774	0.09001991	0.09018641	0.09040486	0.09052233	0.090237	0.098528676
à	0.08191257	0.08192926	0.08190401	0.081943825	0.082281485	0.08199116	0.082442105	0.084028885	0.08779954	0.084728	0.16903919
è	0.07045642	0.07104022	0.07053301	0.09449693	0.07045889	0.07032914	0.1123589	0.08022916	0.08546947	0.0756138	0.19901407
r	0.05315477	0.05325491	0.05381048	0.09501018	0.05391815	0.05392189	0.14196797	0.08632038	0.081146814	0.068550885	0.25894356
k	0.0425061	0.04258179	0.04300669	0.072717175	0.04286962	0.044938803	0.19171949	0.12538756	0.059624836	0.113292396	0.22135559
u	0.089330204	0.089342065	0.08934425	0.091060534	0.08933832	0.08933552	0.09254508	0.08982672	0.0896481	0.09028093	0.09994827
t	0.07282839	0.072848946	0.072835565	0.07433436	0.07304686	0.07289827	0.0764512	0.07610794	0.07921453	0.07526718	0.25416678
t	0.03774564	0.037836347	0.037963163	0.048915107	0.037895627	0.042484242	0.17303135	0.1468266	0.071759745	0.1389365	0.22660571
e	0.08811944	0.088120244	0.088127844	0.08888893	0.088138334	0.08815878	0.09051737	0.090236664	0.08883571	0.08956429	0.111292325
n	0.04034278	0.040376525	0.04030782	0.04059524	0.04377877	0.041051116	0.043789838	0.055961538	0.08339185	0.051005285	0.5193992
d	0.05924591	0.06242257	0.05866053	0.09938961	0.05812753	0.05789013	0.12682511	0.074630044	0.07681066	0.07028534	0.2557126
i	0.08332298	0.08334536	0.08332655	0.08445272	0.08338536	0.08338709	0.08712229	0.0879566	0.08780353	0.08621931	0.14967813
m	0.026092295	0.026210083	0.026037704	0.027029954	0.028930226	0.026790975	0.03427601	0.049367778	0.07972238	0.043131705	0.6324109
è	0.04036137	0.04270045	0.03949104	0.04266759	0.0393339	0.039494563	0.058586232	0.14665897	0.24991861	0.13722283	0.16356446
n	0.01589297	0.016050488	0.020222092	0.045285914	0.027963985	0.030064646	0.14117582	0.07002416	0.11844767	0.089534394	0.4253379
i	0.03332016	0.034223136	0.035470147	0.08490819	0.034827244	0.033594374	0.10468121	0.045553293	0.04127302	0.048545826	0.5036034
à	0.014340183	0.014562441	0.01424476	0.020849999	0.027268479	0.017828656	0.05653323	0.10880574	0.17012426	0.06790271	0.4875396
t	0.016088737	0.021882717	0.01798885	0.03539496	0.018065086	0.015185342	0.09001136	0.07905555	0.22788583	0.09244928	0.3859923
t	0.00973592	0.012479249	0.012333883	0.023814427	0.011431458	0.011886219	0.1930329	0.1385496	0.109855995	0.16449344	0.31238693
o	0.0085904505	0.008631411	0.00877562	0.01649193	0.010847645	0.01787885	0.21242853	0.12271479	0.08616349	0.27561274	0.23186451
n	0.0020034397	0.0020894923	0.001960467	0.0043877577	0.012474176	0.0093149105	0.03044427	0.03855635	0.054890156	0.14890414	0.69497484
c	0.019478869	0.026750414	0.018259656	0.029417418	0.014628412	0.013193162	0.08225192	0.06372979	0.15256254	0.116704464	0.46302336
i	0.021333948	0.021767054	0.021649087	0.043742657	0.023305489	0.02359412	0.13514416	0.10460779	0.13391662	0.120048314	0.35089076
ù	0.00023517953	0.00030829533	0.00021853324	0.0004517286	0.0013526222	0.0012605931	0.011155032	0.010179239	0.02310189	0.22728556	0.7244513
r	0.001979456	0.002838673	0.0033283667	0.0024546962	0.006171962	0.0039464612	0.016930925	0.051165253	0.1354744	0.24213004	0.53357977
i	0.0020509502	0.0035818191	0.0067838146	0.007426863	0.0065881195	0.022188002	0.08331952	0.081878304	0.17778368	0.33935195	0.26904696
c	4.4670884e-05	8.809529e-05	8.884882e-05	7.444533e-05	0.00087946834	0.0013102609	0.0062511167	0.004860662	0.023717215	0.68584937	0.27683577
e	0.00035488242	0.0005110533	0.00053876726	0.00050555303	0.0004515101	0.0007147975	0.016650772	0.024106948	0.07009496	0.2147009	0.67136985
à	2.3861898e-05	3.0264338e-05	3.6392474e-05	1.523837e-05	8.357144e-05	0.00022364367	0.0013806534	0.001651319	0.010955573	0.6692555	0.31634396
t	0.00018670404	0.00030512363	0.00042126377	0.00024003116	0.0011485611	0.001280814	0.005005531	0.012688219	0.039631624	0.6278124	0.3112797
t	0.0013729067	0.003007089	0.0030931022	0.0022921606	0.003930898	0.015604709	0.033536773	0.07480437	0.18288931	0.45712528	0.2223434
i	1.9451567e-05	3.6849735e-05	6.5700406e-05	7.927271e-05	0.00073713285	0.0011869783	0.0017099328	0.0041948883	0.055802103	0.3170358	0.61913186
m	1.1005733e-05	2.523941e-05	2.3618066e-05	2.1050542e-05	3.4405468e-05	0.00012257256	0.000595018	0.00071600685	0.02533391	0.5240742	0.44904298
à	1.0383587e-05	1.5126268e-05	1.8055598e-05	1.3569396e-05	7.111781e-05	0.00011839282	0.0011180366	0.0029872167	0.018515538	0.39725015	0.5798824
n	4.64964e-05	5.0620605e-05	4.179266e-05	4.6059344e-05	5.6071836e-05	0.00020881271	0.0012304727	0.0018232458	0.01951689	0.49275598	0.4842235
a	3.2849883e-05	6.484371e-05	6.7386296e-05	4.5308116e-05	0.00017393538	0.00023325121	0.00229681	0.010977612	0.02733162	0.72331566	0.23546064
</S>	1.1001949e-05	1.5879988e-05	3.628589e-05	1.8085979e-05	1.5296953e-05	0.00011581072	0.00030777615	0.0006391005	0.013667348	0.7671328	0.21804057
