 	è	che	sono	usciti	</S>
è	0.14025824	0.22711635	0.25024328	0.1547515	0.22763069
n	0.19622044	0.20046046	0.19749103	0.19809872	0.20772927
a	0.18283425	0.1873172	0.19853574	0.23226503	0.19904776
g	0.049281772	0.13161997	0.061446246	0.4784273	0.27922472
u	0.07635373	0.47012708	0.20824854	0.088009745	0.15726092
ì	0.009681713	0.011991217	0.021651817	0.37286344	0.5838119
k	0.0081090415	0.06732345	0.08104987	0.08720673	0.7563109
a	0.017029012	0.048918534	0.22175041	0.08541963	0.6268824
n	5.4800268e-05	0.019508678	0.4206931	0.26699263	0.29275078
e	0.0009867626	0.010181703	0.06188413	0.35543236	0.571515
</S>	7.7644145e-05	0.026827672	0.33328778	0.20694056	0.43286636
