 	non	deve	magniare	la	sera	</S>
e	0.16648617	0.16650358	0.16652034	0.16652022	0.16652073	0.16744895
n	0.13190381	0.13322589	0.21272308	0.22507615	0.15297492	0.14409615
è	0.16365802	0.16377494	0.1678634	0.16724277	0.16462265	0.1728382
n	0.15208587	0.15268274	0.1662912	0.15675002	0.15412605	0.21806413
a	0.14596754	0.15295924	0.16457765	0.16423397	0.1549441	0.2173175
f	0.030864006	0.035527177	0.11698021	0.055736665	0.13992284	0.62096906
à	0.020972027	0.04395072	0.33412477	0.34159246	0.13772571	0.12163436
i	0.015560232	0.019763207	0.065210715	0.030049177	0.062250335	0.8071663
t	0.00094698824	0.0033177377	0.05067837	0.09665197	0.2262125	0.6221925
o	0.0034113089	0.01889327	0.2704189	0.17127313	0.43479714	0.10120624
v	3.439258e-05	0.00023619375	0.0016966221	0.01081592	0.5621107	0.42510614
r	0.0001489115	0.0067706862	0.01924379	0.0616185	0.34737694	0.56484115
à	0.00027882506	0.003232263	0.0075756707	0.055959884	0.25794104	0.6750123
i	0.00017504499	0.002669139	0.0070804986	0.09689143	0.5148739	0.3783099
</S>	3.2240637e-06	4.4373366e-05	0.00018252427	0.011476798	0.76831853	0.21997453
