 	vuole	andare	a	Lecce	</S>
i	0.19778843	0.20094132	0.20025845	0.19837904	0.20263278
t	0.19897152	0.20110938	0.19873303	0.1963485	0.2048376
è	0.17888485	0.1980726	0.19619246	0.18495104	0.2418991
l	0.15640572	0.15915494	0.15079562	0.1514773	0.38216645
i	0.060721625	0.25240177	0.2563773	0.15711874	0.2733805
n	0.16943033	0.18385959	0.14599667	0.14099522	0.35971826
a	0.10663582	0.2008128	0.19477525	0.1800794	0.31769675
p	0.12583053	0.17907348	0.12388254	0.10061649	0.47059688
à	0.030950487	0.11674196	0.24683106	0.28279293	0.32268354
i	0.055073816	0.07469186	0.07236302	0.118926585	0.6789447
L	0.013046399	0.03367125	0.0744791	0.18919598	0.68960726
u	0.0037616622	0.034296572	0.093319945	0.32753387	0.5410879
p	0.0012380858	0.003207523	0.22086078	0.101279005	0.6734146
p	0.004226472	0.048264023	0.09706248	0.22413483	0.6263122
ì	0.0010381798	0.007001452	0.46928042	0.09342592	0.42925403
u	0.000255598	0.004356331	0.60447913	0.035226844	0.35568208
n	0.000124812	0.0015764562	0.2378036	0.016543556	0.74395156
a	0.011454106	0.039943688	0.1260081	0.21721631	0.60537785
</S>	5.370209e-05	0.0039062733	0.25568298	0.029830476	0.7105266
