 	è	facile	che	stanno	ancora	svegli	</S>
è	0.14283095	0.14283139	0.14283247	0.14283401	0.1429308	0.14288403	0.14285634
f	0.12868433	0.12869847	0.1286972	0.1294609	0.15670449	0.13092859	0.19682607
à	0.14203179	0.14206593	0.14224923	0.14224097	0.1451	0.14292227	0.14338984
c	0.13427506	0.13428685	0.13427927	0.13502489	0.16150281	0.1344642	0.16616698
i	0.13943358	0.13949338	0.14131331	0.14020248	0.14116742	0.14104392	0.15734588
l	0.122005455	0.122050986	0.12201831	0.12490521	0.22000597	0.12269117	0.16632283
e	0.13190033	0.13212131	0.13390072	0.13296567	0.14198813	0.16814528	0.15897852
k	0.10471838	0.104799174	0.10479862	0.10909428	0.24174649	0.10711782	0.22772528
a	0.081335165	0.08180309	0.08361705	0.08509409	0.15729967	0.3119421	0.19890884
s	0.085170515	0.085299015	0.085557766	0.09124101	0.2742956	0.09261953	0.28581655
t	0.037715197	0.037989456	0.042707935	0.047856502	0.37749642	0.2612273	0.19500718
è	0.06839702	0.06899292	0.06851301	0.10567304	0.35554194	0.12208707	0.21079502
o	0.046524543	0.047285475	0.046719465	0.091514006	0.25649628	0.06104963	0.45041063
n	0.035911303	0.038117364	0.03680575	0.12058862	0.27126902	0.0726759	0.42463198
e	0.04222898	0.042771813	0.04408148	0.056687437	0.2767771	0.16540511	0.3720481
a	0.027543418	0.030021094	0.02835184	0.105904676	0.1779342	0.05319784	0.577047
n	0.0092350375	0.013377492	0.019459207	0.04177972	0.37064224	0.31052285	0.2349834
k	0.015810173	0.018316826	0.022898342	0.03848858	0.50841343	0.2488458	0.14722684
ò	0.045154553	0.04620012	0.04569212	0.103393406	0.2649505	0.20417413	0.29043517
r	0.009814437	0.011732407	0.021906285	0.07675648	0.07914697	0.45195872	0.34868473
a	0.023164157	0.024241924	0.051572695	0.034286264	0.05107236	0.100070916	0.71559167
a	0.0025652593	0.00372294	0.002908489	0.01372119	0.01579059	0.051517095	0.9097744
t	0.0004029828	0.00097085244	0.001687932	0.0070886365	0.04851857	0.85160077	0.08973031
s	0.003357931	0.0060081678	0.016358906	0.06370765	0.3647128	0.4794983	0.06635631
ù	0.015091101	0.030110054	0.0196127	0.12946407	0.13491715	0.3827493	0.2880556
n	0.0015852432	0.0038672085	0.010332472	0.013983166	0.017969225	0.62025493	0.33200774
n	0.00014687356	0.00045247964	0.003065775	0.0051738652	0.061765924	0.8106713	0.11872374
i	0.00022004808	0.0004420886	0.0015828684	0.0038342294	0.008265385	0.5579391	0.42771628
t	6.0062783e-05	8.125324e-05	0.00056339265	0.00021554691	0.0016929657	0.8510226	0.14636411
i	2.2807902e-05	2.6552063e-05	0.005341411	0.0026017565	0.019897558	0.45266345	0.5194465
</S>	4.1418127e-05	7.060467e-05	0.00039427134	0.00046745857	0.008990093	0.8365807	0.15345547
