 	il	lenzuolo	vuole	lavato	</S>
o	0.1999255	0.19993205	0.1999528	0.19997431	0.20021535
p	0.18990521	0.19202152	0.20757568	0.20093016	0.20956746
l	0.19417776	0.19450855	0.19568639	0.19756559	0.21806173
a	0.19862887	0.19877669	0.19977891	0.19924691	0.20356865
ù	0.14694123	0.1673234	0.16320774	0.24399261	0.278535
n	0.14803562	0.15143868	0.17068459	0.17531689	0.35452425
a	0.17278063	0.17334203	0.17848983	0.1832724	0.2921151
t	0.07660291	0.095069475	0.25413373	0.17469831	0.39949566
è	0.016399225	0.019797416	0.054988593	0.10237504	0.80643976
l	0.05444662	0.060723145	0.27226996	0.07311717	0.53944314
i	0.022651704	0.02546283	0.058712028	0.14849581	0.7446776
p	0.011323757	0.020806992	0.041163553	0.11853923	0.8081665
l	0.048498303	0.07757136	0.19936031	0.14263158	0.5319385
i	0.01418835	0.018943107	0.1249857	0.101667486	0.7402154
m	0.0019705077	0.009746547	0.005079671	0.6990129	0.2841904
è	0.0005911801	0.0017242635	0.009242455	0.31906512	0.66937697
n	0.0008071019	0.0025722499	0.0014017158	0.44814387	0.54707503
o	0.0004600385	0.0028445942	0.0032384517	0.48250455	0.5109524
</S>	0.0013233183	0.01653824	0.012437438	0.5133975	0.45630357
