 	non	sono	andati	</S>
e	0.24617025	0.24688724	0.2485375	0.25840497
n	0.17501058	0.195052	0.19878301	0.43115434
è	0.24317455	0.24572155	0.24828461	0.26281926
c	0.21818662	0.22243904	0.22581665	0.3335577
h	0.11111877	0.1682449	0.20696782	0.51366854
u	0.24031505	0.24293827	0.2442878	0.2724589
n	0.015811149	0.04435829	0.11460826	0.82522225
e	0.012046719	0.09093852	0.40861332	0.4884014
p	0.0003645912	0.009158054	0.8195007	0.17097667
a	0.009424961	0.09076141	0.3191855	0.58062816
m	0.00027937398	0.012487171	0.57519954	0.41203395
è	0.0019156937	0.082488745	0.17597458	0.739621
n	0.00045330488	0.0434858	0.58152103	0.37453994
a	0.00018626275	0.058068365	0.81827575	0.123469636
</S>	0.005286806	0.081962064	0.45572707	0.45702407
