 	il	morto	vuole	pianto	</S>
o	0.19983897	0.19982402	0.1998597	0.20019162	0.20028573
p	0.19532937	0.19770047	0.20207004	0.2018876	0.2030125
e	0.19596635	0.19585244	0.19646604	0.19937229	0.21234295
s	0.19522412	0.19523202	0.20098801	0.20297775	0.20557809
a	0.15353164	0.1510226	0.16624126	0.19152552	0.33767897
m	0.16174145	0.17622277	0.2141587	0.18701328	0.26086375
m	0.14444566	0.117636874	0.26235375	0.25404596	0.22151776
è	0.16222507	0.17267121	0.19092718	0.19884117	0.27533543
n	0.030930683	0.03674645	0.047342576	0.0400071	0.84497315
o	0.15712921	0.16183849	0.16837132	0.16070578	0.3519552
t	0.09275989	0.15180342	0.22728056	0.18965764	0.33849853
è	0.016872777	0.019038573	0.030815404	0.10513205	0.82814115
l	0.070439704	0.13866365	0.1710668	0.07026392	0.5495659
i	0.019865153	0.046366487	0.036530476	0.24075063	0.6564873
g	0.03150964	0.041591696	0.054364126	0.08871029	0.78382427
l	0.04553596	0.03718451	0.056510236	0.08731534	0.77345395
a	0.025052708	0.019564608	0.04940137	0.09740847	0.8085729
m	0.014688515	0.007097431	0.011311073	0.40518373	0.56171924
m	0.008858693	0.011693344	0.024268996	0.3725868	0.5825921
è	0.0010978904	0.00039441275	0.0025856958	0.08421539	0.9117066
n	0.000886151	0.00046847615	0.00036517822	0.22162305	0.77665716
o	0.0018686729	0.0013196256	0.002737352	0.32688218	0.6671921
</S>	0.004385747	0.0010365852	0.006349249	0.6317901	0.3564384
