 	mia	sorella	quest	anno	che	viene	vuole	diventare	dottoressa	</S>
a	0.0999982	0.09999842	0.09999812	0.09999812	0.09999812	0.09999812	0.099999726	0.10000522	0.099999726	0.10000621
d	0.09783353	0.0978398	0.0978195	0.09784809	0.097866826	0.097926356	0.09967175	0.101956025	0.10004094	0.11119722
r	0.09880513	0.098829255	0.09880332	0.09880874	0.098817945	0.09885587	0.10009444	0.10379595	0.10002619	0.1031631
e	0.099983506	0.099983506	0.099983506	0.09998358	0.09998396	0.09998579	0.09999312	0.09999327	0.10001142	0.10009837
f	0.09697389	0.09696411	0.096965596	0.09698817	0.09698084	0.09697721	0.097857416	0.099314086	0.0986238	0.12235484
f	0.09820664	0.09822282	0.09820612	0.09821331	0.09823362	0.098307095	0.09986869	0.10399106	0.10064329	0.10610733
ì	0.09840139	0.098399654	0.09840011	0.09840356	0.09843817	0.09851692	0.09914887	0.09899467	0.0991317	0.11216497
m	0.081928395	0.08191677	0.081941456	0.0819649	0.08201945	0.0822493	0.08394079	0.08525369	0.0842847	0.2545005
m	0.09898955	0.09904106	0.09898471	0.098985314	0.099018924	0.09923628	0.099655926	0.09969616	0.102416925	0.10397509
u	0.09987362	0.099873684	0.099873535	0.09987407	0.09987422	0.099876285	0.09989983	0.09993878	0.099957086	0.100958884
f	0.09193807	0.09185828	0.09186957	0.09203899	0.092034504	0.092098	0.1000014	0.111600414	0.10262483	0.13393597
ù	0.09504506	0.09510896	0.09504469	0.09505288	0.09513682	0.09548929	0.09793426	0.101344354	0.10070563	0.12913802
e	0.05155103	0.0515454	0.0518466	0.051855307	0.05316228	0.05858077	0.07570886	0.06613654	0.07503423	0.46457902
p	0.067910254	0.06793041	0.06776534	0.06833279	0.06843166	0.069469005	0.09570606	0.13414939	0.10240154	0.25790355
p	0.07939235	0.07957634	0.079577304	0.079572394	0.07961125	0.081605315	0.085141905	0.090952754	0.09029882	0.25427154
ò	0.078212194	0.07821327	0.0782861	0.07830557	0.07877783	0.08051491	0.08831958	0.08514808	0.08770631	0.26651618
r	0.05035747	0.050368648	0.05146867	0.051495414	0.052442968	0.0642041	0.08396106	0.08435677	0.09042272	0.4209222
k	0.022894325	0.022948483	0.023788013	0.023722421	0.03851079	0.09446744	0.09780962	0.038255777	0.13353436	0.5040688
e	0.09227308	0.09228252	0.09234259	0.09233526	0.092300326	0.09280308	0.092582785	0.09278284	0.093939655	0.1663579
t	0.045099128	0.0449062	0.044983976	0.045494303	0.045602407	0.04657157	0.07022842	0.093570076	0.07713607	0.48640785
e	0.0342626	0.03431811	0.03453172	0.034520872	0.039599065	0.06638673	0.0928288	0.045384403	0.17044261	0.44772506
e	0.010182389	0.01004341	0.010068637	0.010675562	0.010705126	0.011524818	0.033265915	0.0420777	0.04815421	0.8133022
t	0.009650261	0.013069325	0.008958597	0.009788747	0.009528522	0.010883374	0.09370958	0.23899402	0.16199899	0.44341853
è	0.021891532	0.025722854	0.021569373	0.021698397	0.03202018	0.04910565	0.117798604	0.2730681	0.16799895	0.26912642
l	0.010515103	0.010134428	0.013836953	0.015735874	0.032517027	0.068015076	0.12565847	0.33986518	0.25802118	0.12570074
i	0.011254265	0.011799687	0.0118738655	0.011868403	0.016230889	0.046425343	0.10990848	0.07942673	0.1883054	0.51290697
