 	vuole	pianto	</S>
e	0.30623472	0.31300718	0.3807581
t	0.22105253	0.20101726	0.5779302
è	0.18531711	0.22047521	0.5942077
l	0.38100094	0.1939093	0.42508978
i	0.06285462	0.16746156	0.7696838
k	0.16259214	0.092580386	0.7448275
l	0.13578853	0.31685024	0.54736125
a	0.23867157	0.19448753	0.5668409
m	0.014263678	0.37531874	0.6104176
m	0.029925719	0.7788667	0.19120753
è	0.0054531246	0.27665558	0.7178913
n	0.00040882608	0.16346596	0.8361252
o	0.030973636	0.7159071	0.25311926
</S>	0.039334606	0.82253003	0.1381353
