 	non	mi	aspetti	che	non	vengo	</S>
m	0.14274465	0.14274465	0.14274465	0.1427465	0.1427465	0.1427722	0.14350092
ì	0.10349101	0.10352243	0.10676639	0.34771457	0.10803217	0.117961705	0.11251169
m	0.13009444	0.13009821	0.13037473	0.16244051	0.1305313	0.1350517	0.18140915
e	0.14184734	0.14194684	0.14186478	0.14282839	0.1419085	0.14304377	0.14656046
m	0.12611274	0.12618425	0.12688793	0.21124697	0.12728031	0.13216251	0.15012524
ì	0.08523695	0.08539915	0.08822585	0.3020951	0.091729864	0.12576203	0.22155099
n	0.0759868	0.07607445	0.07635582	0.11479782	0.07739411	0.13146864	0.4479223
i	0.1330354	0.13306372	0.13309926	0.13981882	0.13321944	0.13797392	0.18978947
k	0.05766627	0.05817911	0.07108826	0.30833808	0.07753111	0.16521962	0.26197758
a	0.03735766	0.03942772	0.03758668	0.06284048	0.04223927	0.08267034	0.6978779
e	0.010845643	0.013970541	0.013504358	0.060066365	0.020976156	0.31812847	0.56250846
n	0.0015586236	0.0062919343	0.0018406516	0.03813387	0.016014267	0.51565206	0.4205086
è	0.0038769941	0.0049919914	0.004876357	0.036045145	0.009828427	0.13575913	0.80462193
r	0.0008194821	0.0010066228	0.0041217916	0.006033755	0.007552872	0.1548491	0.8256164
k	0.002052392	0.0015639252	0.003300535	0.020018939	0.0077183456	0.3021466	0.66319925
o	0.00091425667	0.002032169	0.0013767558	0.005179387	0.0047529633	0.6473947	0.3383497
m	2.354083e-05	0.0006514204	0.00030870503	0.00053704553	0.0030539117	0.7828198	0.2126056
e	1.3328769e-06	1.5371377e-05	1.601709e-05	0.0002035801	0.0007885479	0.82879484	0.17018035
</S>	3.2906626e-06	0.00032418044	0.00051877106	0.0003321468	0.023560992	0.838621	0.13663957
