 	lo	sentii	che	viene	</S>
t	0.19997165	0.19998965	0.20002887	0.20001131	0.1999985
o	0.19839574	0.19943105	0.20207134	0.20061846	0.1994834
n	0.19354273	0.19593236	0.2063678	0.19518858	0.20896854
ì	0.15601352	0.18871328	0.21360667	0.18887	0.25279656
k	0.16425592	0.17731419	0.17237343	0.17351437	0.3125421
u	0.06545079	0.15313394	0.28545612	0.24907461	0.24688454
s	0.095027976	0.18990318	0.14626786	0.10440747	0.46439344
a	0.0066634533	0.037050895	0.27793396	0.4096625	0.26868924
n	0.0045924783	0.01801766	0.031745665	0.039655566	0.9059886
a	0.009121527	0.030532515	0.2535938	0.4968875	0.20986468
r	0.00033592977	0.0013250704	0.0029987446	0.11635498	0.8789852
t	0.0004316058	0.0082989205	0.081365496	0.27778095	0.63212305
i	0.00085638074	0.011604492	0.055273388	0.06505526	0.8672105
</S>	0.00013013657	0.0001467623	0.05860726	0.5476241	0.39349172
