 	lo	sentii	che	arrivò	</S>
t	0.19996724	0.1999828	0.20007041	0.19997305	0.20000647
o	0.19722009	0.1986817	0.2062144	0.19839011	0.1994937
n	0.19265419	0.19414993	0.21372075	0.19766045	0.20181468
ì	0.1160569	0.12939389	0.2162961	0.26922512	0.26902798
k	0.13941634	0.1477735	0.15735821	0.18637559	0.36907637
u	0.061090294	0.13729265	0.38148993	0.0804267	0.33970046
s	0.08756623	0.15440843	0.16658685	0.1680064	0.42343217
a	0.0063717677	0.032519955	0.3189402	0.24190272	0.40026534
k	0.0017197325	0.00804444	0.02039726	0.4689863	0.5008522
a	0.0018202567	0.012611488	0.215	0.24822418	0.52234405
ì	4.7595415e-05	9.4329465e-05	0.0009164174	0.843523	0.15541862
r	0.00037878845	0.0016882706	0.019188264	0.82498723	0.15375736
t	0.0003177381	0.00223398	0.030464476	0.7224486	0.2445352
e	4.055187e-05	0.00020765231	0.013107222	0.51013166	0.47651294
</S>	0.00049171114	0.00013720663	0.051125642	0.598715	0.34953043
