 	forse	stanno	ancora	svegli	</S>
f	0.19941534	0.19948229	0.20118894	0.20042337	0.19949006
ò	0.19443268	0.19477758	0.2049993	0.20754714	0.19824332
r	0.16405348	0.16800065	0.27904117	0.16440795	0.22449677
s	0.19305682	0.1948748	0.19414704	0.19501743	0.22290389
i	0.19954208	0.19955653	0.19993767	0.19961728	0.20134644
s	0.1240442	0.14018536	0.43170178	0.12554634	0.17852229
t	0.1458561	0.1553385	0.16508216	0.26319563	0.2705276
è	0.18336003	0.18427187	0.21293598	0.18651587	0.23291624
o	0.056507953	0.09529239	0.28985268	0.060186416	0.4981606
n	0.0446726	0.11257019	0.26553676	0.07776436	0.49945617
e	0.06375032	0.06893169	0.20513223	0.20841521	0.45377058
a	0.03793277	0.11492822	0.23624869	0.051963508	0.5589268
n	0.013984419	0.062149808	0.44404173	0.29031125	0.18951274
k	0.021867968	0.043955315	0.54706246	0.21762577	0.16948853
ò	0.06691834	0.12682198	0.32505655	0.20039068	0.2808125
r	0.0413329	0.06438914	0.08200943	0.42427266	0.3879958
a	0.039800845	0.047378972	0.076124944	0.10425477	0.7324405
a	0.006731179	0.017226776	0.019620206	0.043395296	0.9130265
t	0.0025188017	0.019057522	0.07495484	0.7902237	0.11324513
s	0.009638627	0.10702055	0.36249223	0.45129222	0.069556415
ù	0.05751235	0.09064214	0.12273358	0.41731727	0.31179464
n	0.021311404	0.005719809	0.0069292113	0.6040867	0.36195284
n	0.0007372667	0.007106906	0.06312045	0.813319	0.115716435
i	0.005498496	0.0030821774	0.0065695136	0.5275403	0.45730942
t	0.0010260572	0.0001662612	0.001498313	0.8579487	0.13936059
i	0.0010808811	0.0012135624	0.009366305	0.48534667	0.50299263
</S>	0.00094451563	0.0004343767	0.005415498	0.84733814	0.14586748
