 	è	che	stanno	ancora	alzati	</S>
è	0.16662708	0.16663115	0.16664678	0.16679204	0.16663228	0.16667068
n	0.15994793	0.1599589	0.1626663	0.18761083	0.16026038	0.16955563
a	0.16616872	0.16619977	0.16623667	0.16691558	0.16621804	0.16826117
s	0.12968539	0.12980527	0.15056686	0.31205827	0.13402182	0.14386232
t	0.14482571	0.14957695	0.15134764	0.18808892	0.15218547	0.21397534
a	0.1568623	0.15728748	0.15870008	0.17102611	0.15772778	0.19839618
s	0.078122675	0.07836031	0.14905863	0.36888763	0.09331167	0.23225902
ù	0.07898019	0.08192271	0.10252833	0.31815946	0.106436715	0.31197262
n	0.045260258	0.044931997	0.12958346	0.24097966	0.13131177	0.40793285
e	0.078760855	0.08094616	0.085351445	0.13734478	0.086375125	0.5312216
a	0.025362318	0.02706575	0.13360299	0.17226061	0.16245413	0.47925428
n	0.009058701	0.01826312	0.08068354	0.34550995	0.18135302	0.36513174
k	0.020433998	0.029010499	0.07904503	0.53521675	0.11419879	0.22209492
ò	0.04446632	0.04652914	0.16606416	0.2567856	0.11532374	0.37083098
r	0.0099106375	0.021415288	0.044556666	0.057630923	0.48706028	0.37942624
a	0.019136345	0.03652087	0.036970906	0.06344184	0.055317957	0.78861207
o	0.0005056315	0.00094715314	0.0029686939	0.0031509057	0.47133875	0.52108884
r	6.137508e-05	0.0004868348	0.0013807062	0.0026414508	0.83191884	0.16351081
t	0.0021582525	0.007421548	0.034377962	0.11289543	0.5297784	0.31336838
ì	0.0042860974	0.008821713	0.027776303	0.030130468	0.3449872	0.58399814
</S>	0.0013422475	0.0021037252	0.0015609572	0.0037664892	0.5580921	0.4331345
