 	il	dito	si	gonfiò	</S>
o	0.19994746	0.19949156	0.19951774	0.19987532	0.2011679
d	0.17898983	0.22295384	0.19675097	0.20576863	0.19553675
à	0.1940631	0.17951737	0.18615441	0.19349553	0.2467696
t	0.19579491	0.19704007	0.19913453	0.1972064	0.21082409
t	0.09369578	0.08321201	0.08801488	0.10114264	0.6339347
i	0.1901635	0.19066659	0.19157661	0.19650464	0.23108868
l	0.100637294	0.23326898	0.26450086	0.19575222	0.20584062
o	0.11472972	0.10678349	0.1293692	0.15550567	0.49361193
è	0.050489623	0.12741156	0.12412685	0.20649168	0.49148023
p	0.09583001	0.050683744	0.14114477	0.20844284	0.5038986
r	0.10138371	0.047264338	0.07416687	0.17415151	0.60303354
i	0.07168116	0.051327337	0.056833	0.12251319	0.69764525
m	0.041324075	0.016865395	0.008469964	0.5946968	0.3386438
m	0.005689042	0.0040574684	0.01671085	0.43612915	0.5374135
è	0.012100843	0.00466313	0.0027108148	0.53881925	0.44170594
n	0.0035481676	0.018066669	0.0022459181	0.3697526	0.6063867
o	0.009849463	0.025009045	0.012052166	0.5679489	0.38514042
</S>	0.007865337	0.032703817	0.014790212	0.49606794	0.44857275
