 	sto	ancora	cucinando	</S>
s	0.24988952	0.24995321	0.25019056	0.24996674
t	0.24962632	0.2509747	0.24968499	0.24971394
e	0.2492147	0.25199407	0.24932462	0.24946657
a	0.17571944	0.35452405	0.17739877	0.29235777
n	0.18377921	0.40834683	0.21209903	0.19577484
k	0.20386069	0.24357435	0.21339427	0.33917072
ò	0.2292348	0.26270512	0.2295782	0.27848184
r	0.063612595	0.1682052	0.06751319	0.700669
a	0.10645818	0.09853558	0.17867061	0.61633563
m	0.026861846	0.050812062	0.030356204	0.89196986
a	0.08355455	0.28421015	0.4187093	0.21352604
r	0.0071503595	0.014393033	0.05075311	0.92770356
è	0.03505444	0.11158929	0.31029	0.54306626
o	0.00784062	0.004336601	0.022641262	0.9651815
n	0.0014362121	0.005295406	0.26270613	0.73056227
t	0.027420428	0.064428285	0.64146936	0.26668188
a	0.024037398	0.029824076	0.4917424	0.45439607
</S>	0.0023582797	0.002628377	0.7267104	0.26830298
