 	quando	è	arrivato	Giovanni	Anna	stava	ancora	cucinando	</S>
m	0.11110902	0.11111351	0.111107916	0.11110851	0.11110783	0.11110826	0.11111953	0.11111029	0.11111512
ò	0.10968739	0.109714836	0.10969584	0.10980888	0.10975109	0.109864354	0.111102425	0.11039116	0.11998399
t	0.10819092	0.10818795	0.108264655	0.10886583	0.108252764	0.10842825	0.114006	0.10892955	0.12687412
t	0.104611546	0.104622245	0.104793034	0.10481047	0.10626137	0.106432	0.111194566	0.13253723	0.124737486
e	0.11107614	0.11107656	0.11107639	0.11107775	0.11107877	0.11108478	0.11109919	0.11112242	0.111307986
è	0.109101735	0.10909916	0.10919775	0.10998269	0.109146774	0.10921542	0.11673044	0.10998697	0.117539026
s	0.099838726	0.09994718	0.09985533	0.10021304	0.10012623	0.10502301	0.103606015	0.10140964	0.18998083
t	0.099815935	0.099897	0.09993869	0.099972256	0.10112639	0.1059603	0.10499487	0.12171146	0.16658314
a	0.11067708	0.110679865	0.110680535	0.110685945	0.11072117	0.11077212	0.11086918	0.111400805	0.11351326
s	0.10197789	0.10197166	0.10227491	0.10470508	0.10231377	0.102782965	0.12536722	0.105369896	0.15323664
e	0.08729886	0.08742857	0.08765745	0.08773011	0.09101154	0.09403498	0.10161293	0.14397366	0.21925192
o	0.09145455	0.091468155	0.0919125	0.09570479	0.09278673	0.09450467	0.12791346	0.099614084	0.21464106
G	0.07794632	0.09047755	0.07512541	0.07929651	0.0763586	0.08328501	0.15424427	0.09348889	0.26977748
i	0.09281811	0.09406145	0.09252074	0.09264789	0.09313982	0.099594496	0.09503286	0.09536522	0.24481945
u	0.08617071	0.0869088	0.08628636	0.089398235	0.08725953	0.090140305	0.11609807	0.09493666	0.26280135
v	0.038376875	0.056552634	0.03320727	0.03747175	0.03674869	0.055952605	0.3174515	0.13734534	0.28689334
à	0.07890582	0.08269398	0.078032434	0.07837461	0.079473324	0.09062292	0.11824797	0.09522209	0.2984268
n	0.04944496	0.04962579	0.049566954	0.051123604	0.05934003	0.15265845	0.058962163	0.08305811	0.44621992
n	0.044414487	0.045882218	0.044334386	0.045392912	0.049608152	0.12853257	0.056292936	0.097225256	0.48831704
i	0.060367133	0.060378417	0.060507257	0.06144642	0.07297065	0.104114786	0.07110674	0.10396175	0.40514684
t	0.042157874	0.041985244	0.04679746	0.080555186	0.045563772	0.054443568	0.18815362	0.091550976	0.4087923
i	0.045673214	0.0471811	0.045779996	0.046141166	0.05048965	0.07754719	0.06636086	0.112515286	0.50831157
n	0.029574644	0.029612932	0.03358472	0.062440455	0.042721987	0.06315587	0.15296052	0.11802815	0.46792075
A	0.056103494	0.08497007	0.04644863	0.047923367	0.050931167	0.12286879	0.06891983	0.076148845	0.4456858
n	0.006130944	0.008898664	0.007949626	0.031376254	0.01753098	0.044259045	0.069880344	0.2644803	0.54949385
n	0.00472827	0.0050600367	0.009430314	0.016314372	0.05960233	0.1545362	0.1322845	0.23709784	0.38094616
a	0.034537174	0.035235777	0.034667246	0.037245624	0.044352867	0.122043505	0.05628818	0.1085489	0.5270807
ì	0.008838863	0.007967238	0.024656262	0.043772824	0.0252713	0.08731952	0.07191777	0.17190166	0.55835456
s	0.009127364	0.014167701	0.012814667	0.04837984	0.03136083	0.073918104	0.14091496	0.3353229	0.33399364
t	0.008409097	0.01216788	0.0101164505	0.014264872	0.062202785	0.1630992	0.09198616	0.27690986	0.36084375
i	0.010389338	0.010426294	0.011683089	0.021155339	0.029279284	0.07089313	0.11842359	0.43506038	0.2926896
n	0.0022410331	0.0014121498	0.00493975	0.009668532	0.010174409	0.040959865	0.017838685	0.1326933	0.7800722
e	0.008079533	0.012709048	0.0049675833	0.017357523	0.01556215	0.036696345	0.12900779	0.43861398	0.337006
a	0.0009550928	0.00096328114	0.0015243458	0.006707256	0.0033002591	0.012382301	0.01852382	0.21687484	0.7387689
n	0.00041391942	0.00040608077	0.00048052205	0.0028130538	0.00088612706	0.0056968825	0.018493611	0.79546124	0.17534862
k	0.0012576708	0.001676637	0.00086091075	0.0057587866	0.0028663191	0.007885614	0.12293228	0.77769095	0.079070866
ò	0.0011758555	0.0012452432	0.0043163807	0.020109193	0.008168062	0.020341603	0.070547454	0.5541896	0.31990662
r	0.0004280346	0.00035017604	0.002280001	0.005251867	0.0053041168	0.015042146	0.042195365	0.34432498	0.5848233
a	0.00034765477	0.0009318389	0.00075322005	0.003877975	0.004706046	0.012796556	0.046656266	0.70865625	0.2212741
m	0.00043128623	0.0010610211	0.0009836215	0.0043132654	0.008669504	0.018181706	0.019317403	0.23496324	0.7120789
a	8.5124244e-05	9.100634e-05	9.187191e-05	0.00041919746	0.00027973292	0.0018187716	0.026037691	0.7399737	0.23120287
r	8.696118e-05	0.00019475243	0.00021200291	0.00059714366	0.00073452375	0.008260261	0.041701213	0.37622514	0.571988
è	0.00010812143	0.00020860051	0.00061775063	0.0036643592	0.0021810012	0.010567958	0.12773997	0.28135672	0.57355547
o	0.0022991397	0.0024481532	0.006060471	0.009892565	0.021116313	0.029790442	0.04111325	0.33472997	0.5525497
n	7.1628856e-05	8.9386e-05	7.588581e-05	0.00042464322	0.0005174541	0.0045212545	0.019965163	0.52474666	0.4495879
t	7.92162e-05	0.0001532014	0.00016422433	0.00094889523	0.00041560747	0.000906837	0.01844748	0.8958354	0.08304917
a	0.00029557294	0.00083867786	0.0058655925	0.023952562	0.011338449	0.018144866	0.062127683	0.5983795	0.2790571
</S>	0.00013216374	0.000113770926	0.00013730567	0.00018353443	0.0006510901	0.007393863	0.060996935	0.24129385	0.68909746
