 	entrò	da	qui	</S>
m	0.221286	0.22650807	0.2960953	0.25611058
b	0.22591196	0.24596919	0.23728117	0.29083768
ì	0.1719906	0.17585954	0.18267688	0.46947303
k	0.19267893	0.19306976	0.19978899	0.41446233
e	0.059286997	0.07976065	0.22943673	0.6315156
a	0.08512478	0.085149854	0.3788766	0.4508487
p	0.014662085	0.0356691	0.8811408	0.06852797
ò	0.012749709	0.027064893	0.7188129	0.24137247
t	0.0016584637	0.0024776002	0.93331933	0.062544554
t	0.0020650274	0.03650082	0.5991033	0.36233082
u	0.01875322	0.36153796	0.21987222	0.39983657
</S>	0.014914729	0.11914093	0.5853449	0.28059945
