 	dovevo	comprare	il	pane	</S>
ì	0.10098639	0.11498681	0.21791998	0.2060717	0.36003512
c	0.19830936	0.19905591	0.20136453	0.19903952	0.2022307
h	0.165206	0.17189956	0.21938735	0.20878738	0.23471965
a	0.12198261	0.13548112	0.24018127	0.22659357	0.2757615
n	0.18392572	0.18655036	0.19567455	0.18861865	0.2452308
a	0.18778981	0.19412494	0.20371254	0.19130147	0.22307126
a	0.118131295	0.18769261	0.32222614	0.14277944	0.22917046
f	0.048865058	0.19560125	0.34419593	0.11381308	0.2975247
o	0.04108054	0.18119015	0.4657838	0.14262426	0.16932127
r	0.009641384	0.053804774	0.3735426	0.12876114	0.43425015
à	0.0141816735	0.17154598	0.400637	0.18172069	0.23191468
s	0.009853197	0.027326554	0.22523175	0.16756782	0.5700207
o	0.0443887	0.13708018	0.31154242	0.09456747	0.4124213
t	0.010298504	0.01876022	0.0798092	0.24589944	0.6452327
o	0.013806447	0.10744938	0.39279714	0.13028847	0.35565856
t	0.0056364653	0.0064053433	0.066274144	0.51500463	0.40667942
s	0.011031952	0.088829055	0.29749706	0.4469833	0.15565866
o	0.002292053	0.029666562	0.09212415	0.639145	0.23677228
m	0.00310582	0.0076955566	0.13448727	0.31781444	0.5368969
ì	0.00031624423	0.0033011076	0.06083799	0.861081	0.07446358
</S>	0.00053188385	0.0014435127	0.023992565	0.85192084	0.122111216
