 	vengono	vestiti	</S>
è	0.32537314	0.32693356	0.34769332
r	0.3363937	0.33134723	0.33225906
k	0.30240065	0.30639485	0.39120448
u	0.32926095	0.33337379	0.33736527
t	0.3403658	0.2692215	0.39041266
t	0.08442844	0.19135074	0.7242208
e	0.32643974	0.30788362	0.36567664
n	0.12722561	0.41235298	0.46042135
d	0.07356402	0.104064755	0.8223712
i	0.095478944	0.10185681	0.8026643
m	0.010254982	0.3889109	0.60083413
è	0.0060509676	0.27480534	0.7191437
n	0.006785292	0.41161165	0.581603
a	0.028408526	0.103379	0.86821246
</S>	0.06464514	0.22034754	0.71500736
