 	ora	ho	finito	di	scrivere	</S>
à	0.1660952	0.16608189	0.1677267	0.16734721	0.16625558	0.16649345
r	0.16512789	0.1651929	0.16590324	0.16872257	0.16584161	0.16921179
t	0.15539755	0.15541534	0.21143642	0.15828173	0.15658815	0.16288084
e	0.16627063	0.1662719	0.16797547	0.16651641	0.1664007	0.16656493
s	0.15907991	0.15879495	0.16212493	0.17632268	0.16400234	0.17967513
p	0.099429876	0.09970708	0.38107985	0.1380204	0.11257061	0.1691922
ì	0.1530442	0.15339348	0.1580729	0.17645153	0.15825003	0.20078793
c	0.12378966	0.1250785	0.13862261	0.19670077	0.13832322	0.27748525
c	0.08240851	0.082394496	0.35989463	0.18783274	0.09776194	0.1897076
e	0.15242784	0.15237296	0.16355939	0.1564789	0.1551482	0.22001281
t	0.053213358	0.053662144	0.0939282	0.21175446	0.18143077	0.40601104
s	0.016081266	0.01802211	0.24632527	0.346751	0.122263476	0.2505569
a	0.07809077	0.07976378	0.16626303	0.15638606	0.10562936	0.413867
t	0.003500369	0.0036498932	0.009719663	0.0145724	0.36994752	0.59861016
s	0.0012577361	0.0023210552	0.1284201	0.3744945	0.15007372	0.3434328
e	0.0059129186	0.012155398	0.18198459	0.051390044	0.16040894	0.5881481
g	0.00035462785	0.0001850729	0.0036166261	0.003956873	0.14690138	0.8449854
r	0.00052420364	0.0013097414	0.038936045	0.011321449	0.70509624	0.2428123
à	0.00036977849	0.00068291987	0.058977343	0.1073052	0.3096782	0.52298653
t	0.007449521	0.0031925414	0.018193789	0.027389528	0.7012438	0.2425309
s	0.00037205603	0.0007247035	0.007113526	0.026298115	0.68111086	0.28438067
i	0.0002109628	0.00021311232	0.0045750984	0.017775154	0.26388615	0.7133395
</S>	0.010232807	0.0006782931	0.007399734	0.026556548	0.4270108	0.52812177
