 	che	non	li	aspetiamo	</S>
n	0.198724	0.19873051	0.20281687	0.19944093	0.20028765
a	0.1993824	0.19934224	0.20135777	0.19998828	0.19992939
m	0.17562279	0.17431846	0.26644102	0.19440918	0.18920861
i	0.08107203	0.08142134	0.59985673	0.13081324	0.10683673
t	0.085476615	0.08515038	0.6053083	0.119049765	0.10501497
u	0.03533019	0.033875197	0.6270712	0.1965392	0.10718424
s	0.056714505	0.04284885	0.750772	0.071478225	0.07818651
m	0.018711902	0.018500984	0.30808282	0.26813802	0.3865663
ì	0.02079115	0.026621904	0.11294675	0.37964046	0.45999977
n	0.0052712336	0.0053611896	0.0743481	0.14993514	0.7650843
o	0.10150281	0.06966612	0.30920184	0.24328873	0.2763405
m	0.00743286	0.013655775	0.04245665	0.4689237	0.46753103
e	5.2223742e-05	0.00047422235	0.0015854979	0.6510921	0.34679598
</S>	0.00013032847	0.00069791207	0.0007200353	0.9130233	0.08542841
