 	lo	ho	finito	di	fare	</S>
t	0.16653481	0.16653608	0.16721275	0.16660559	0.16655158	0.1665592
o	0.16486366	0.16487625	0.1741516	0.16580227	0.1651134	0.1651928
s	0.15562998	0.15578204	0.15941499	0.1640056	0.15898164	0.20618567
p	0.083836265	0.08497017	0.41536194	0.18601973	0.11026654	0.119545355
ì	0.15628254	0.15644862	0.16078062	0.16399378	0.1577812	0.20471327
c	0.15568313	0.15598927	0.16366343	0.16719165	0.15741472	0.20005779
c	0.08551102	0.087004	0.4191724	0.18077648	0.10963944	0.11789666
e	0.14656171	0.14672662	0.23859839	0.15732883	0.15066649	0.16011798
t	0.059091847	0.05979688	0.0825646	0.104897425	0.16025947	0.5333898
s	0.016150594	0.020824563	0.23103048	0.4301342	0.16806109	0.13379905
a	0.08969561	0.09042318	0.20361514	0.117783986	0.10984648	0.38863555
a	0.009125911	0.009221107	0.03196414	0.058357287	0.5404312	0.3509004
t	0.0029672654	0.0075132195	0.055894736	0.019291196	0.5788945	0.33543906
s	0.001981387	0.0058527277	0.24835406	0.23633827	0.20797847	0.29949507
è	0.0036228946	0.008714152	0.21472687	0.43652987	0.20022067	0.13618548
k	0.0016239512	0.0058165994	0.027339878	0.03579402	0.7505452	0.17888035
à	0.00016286194	0.0010580643	0.01334247	0.027241185	0.59762174	0.36057377
m	7.698456e-05	0.00039073583	0.015917916	0.0049741743	0.56581587	0.4128243
i	0.00033751316	0.0018545884	0.020366112	0.013659648	0.5456028	0.4181794
</S>	0.00018396432	0.001393679	0.018960195	0.07621255	0.6968755	0.20637415
