 	vuole	pianto	</S>
i	0.30623472	0.31300718	0.3807581
t	0.22195198	0.20073685	0.57731116
è	0.18986353	0.21969359	0.59044284
l	0.38249466	0.19436294	0.4231424
i	0.06259998	0.16684788	0.7705521
k	0.16093497	0.09231268	0.7467523
l	0.13740908	0.31667188	0.545919
a	0.23818077	0.19579723	0.566022
m	0.014197884	0.3763984	0.60940367
m	0.03009128	0.778696	0.19121273
è	0.0054598334	0.27715588	0.71738434
n	0.00040927055	0.16352782	0.8360629
o	0.030961322	0.7161217	0.25291696
</S>	0.039460562	0.82215637	0.13838305
