 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.11109743	0.11109752	0.11109761	0.111098796	0.11110405	0.11111201	0.11119284	0.11109896	0.11110074
j	0.107237674	0.10723948	0.10725486	0.10730782	0.10781858	0.10867947	0.122522354	0.107724845	0.12421484
i	0.086212866	0.086244315	0.08635954	0.087388985	0.09285101	0.10285577	0.22755069	0.08761924	0.14291762
n	0.09312844	0.09313015	0.09323074	0.09337724	0.09536085	0.09848933	0.14818877	0.09418962	0.19090487
è	0.08798821	0.087997146	0.08900006	0.08997548	0.09758441	0.10671484	0.1686303	0.09078078	0.18132873
k	0.09039562	0.09039583	0.09311237	0.090566814	0.09330252	0.09504328	0.113678	0.093787685	0.23971792
a	0.06383086	0.06393711	0.06842109	0.09662762	0.16828	0.21151452	0.12842567	0.0716845	0.12727866
p	0.0923978	0.09239032	0.092862956	0.09256396	0.09454465	0.096311	0.12231364	0.09459234	0.22202331
u	0.069598585	0.07014632	0.07641523	0.071512535	0.08241052	0.10429962	0.31851372	0.07798097	0.12912253
l	0.04602926	0.046054974	0.047055714	0.04797487	0.06308642	0.091750845	0.45557386	0.0533778	0.14909628
i	0.043558616	0.043705255	0.051845394	0.04912474	0.077978514	0.14029305	0.38871953	0.06414812	0.14062677
z	0.032515366	0.032508392	0.03390965	0.035035416	0.058857188	0.100028984	0.52226055	0.048727583	0.13615692
z	0.015956916	0.01596634	0.019678682	0.02683333	0.1060256	0.26022217	0.38973138	0.06485399	0.10073155
è	0.055406373	0.055397283	0.060212966	0.05855987	0.096219085	0.114003085	0.22688243	0.106158994	0.2271599
i	0.031069761	0.030956639	0.0801223	0.036497775	0.042238627	0.08901797	0.054120354	0.15171738	0.48425925
o	0.030427804	0.030580772	0.034487482	0.032339215	0.051485516	0.086676516	0.3160487	0.08510178	0.33285215
s	0.015371714	0.018947836	0.020702725	0.017177979	0.064059705	0.10593238	0.23100957	0.14641336	0.3803847
p	0.0053962506	0.0066207056	0.018898876	0.020639516	0.1801253	0.30291045	0.15933944	0.16924031	0.13682921
ì	0.003962579	0.0044046068	0.034256175	0.023205748	0.07463862	0.14419733	0.18222404	0.30109558	0.23201531
t	0.0060875947	0.0056233783	0.026347749	0.010310262	0.050227415	0.093447305	0.13487113	0.28093725	0.39214796
i	0.0042665494	0.00614862	0.05046679	0.023152426	0.042829596	0.07478594	0.3223499	0.13181786	0.3441823
o	0.0008249939	0.0005859589	0.0045723477	0.0029725977	0.0077196388	0.019952334	0.039466318	0.62221956	0.3016862
à	0.00016985026	0.00016747216	0.00063040707	0.0004786951	0.0042245947	0.0076869396	0.0131953955	0.8834595	0.08998709
n	0.0005101597	0.000719019	0.0032389415	0.00552598	0.019367866	0.03252663	0.058540102	0.66448504	0.2150863
t	0.0012480384	0.002164147	0.014569565	0.034941282	0.049676374	0.08690063	0.06692492	0.45818993	0.28538513
r	0.00010170443	0.00062165334	0.0018821217	0.0025714454	0.0064256196	0.0148167815	0.31838378	0.57325786	0.081939004
e	1.1430028e-05	2.3953375e-05	0.0006254237	0.0005630695	0.0010419588	0.0053145196	0.07769922	0.66065407	0.2540663
p	2.6570528e-06	1.1597155e-05	5.4398875e-05	0.000306034	0.00031356278	0.002775482	0.043584384	0.5565377	0.39641416
o	6.504572e-06	9.085427e-06	7.073738e-05	0.0011158681	0.0008983554	0.0041500553	0.005663715	0.89211154	0.095974095
d	2.9930047e-06	3.9903553e-06	8.871101e-06	0.00023372876	5.4189153e-05	0.00048384297	0.0059206933	0.836993	0.15629874
è	3.5103698e-05	4.605431e-05	0.0005657405	0.0034476037	0.0062914966	0.009167298	0.01589314	0.4937897	0.47076383
g	5.3114138e-05	3.94142e-05	9.973481e-05	0.0014363183	0.0016748568	0.012648638	0.015886208	0.7747167	0.19344506
g	1.4160027e-05	3.147372e-05	0.00016443025	0.0026619697	0.0028565181	0.018435616	0.012192803	0.84444886	0.11919416
h	2.551414e-05	4.481071e-05	0.00015878762	0.0026615327	0.00382419	0.02631677	0.017545495	0.8573053	0.09211759
e	8.2207014e-05	0.00032374563	0.0009087043	0.0019520358	0.0038186766	0.012965736	0.051960193	0.76828647	0.15970232
</S>	1.0974777e-05	1.2618321e-05	7.370321e-05	0.0010452546	0.0007446562	0.00395625	0.08205825	0.60194236	0.31015587
