 	i	bambini	non	possono	mangiare	non	possono	mangiare	il	gelato	prima	di	mangiare	</S>
a	0.0714144	0.07141516	0.07141424	0.07141424	0.07141424	0.07141424	0.07141429	0.07141424	0.07141429	0.0714144	0.07141631	0.07141958	0.07143407	0.07158629
p	0.06757361	0.06764634	0.06755964	0.06757721	0.06756098	0.06756438	0.06768878	0.06759619	0.06785154	0.070777155	0.070809454	0.07380183	0.07261065	0.10338226
e	0.07131312	0.07134202	0.07132934	0.07130855	0.07131279	0.07131133	0.07130992	0.0713135	0.071351595	0.071910776	0.07155472	0.07170227	0.07135813	0.071581915
t	0.06745422	0.067470424	0.06745139	0.06745458	0.06745128	0.06745185	0.067475624	0.06746657	0.067615435	0.06952762	0.06861136	0.069518656	0.07309316	0.111957856
ì	0.06462141	0.064677194	0.064616725	0.06461238	0.064613916	0.06461865	0.06463225	0.06506784	0.06989293	0.11575692	0.07892551	0.07030248	0.066417135	0.08124465
a	0.058407437	0.05840989	0.05861135	0.058430303	0.058459643	0.058467045	0.058511492	0.059770454	0.073304065	0.14074309	0.0913141	0.06293047	0.062050756	0.10058992
e	0.06584419	0.06605199	0.0658099	0.0658552	0.06580935	0.06581973	0.06617476	0.06600605	0.06781997	0.08846283	0.07882437	0.08522354	0.070254125	0.08204402
s	0.06689767	0.06877501	0.06652358	0.066518	0.06650333	0.06650272	0.06658832	0.06659436	0.06764179	0.07957427	0.07872284	0.09240938	0.07033171	0.07641696
ò	0.062590666	0.062836796	0.062555395	0.062543795	0.06254518	0.06255195	0.06257316	0.0631888	0.07000118	0.124984294	0.08267244	0.07068258	0.06497604	0.08529765
z	0.045807634	0.0458192	0.04699765	0.045908988	0.04611104	0.046155073	0.046189666	0.053714916	0.09697276	0.13564624	0.12548222	0.06264463	0.06451819	0.13803181
u	0.07010172	0.07023374	0.0701343	0.07007985	0.0701624	0.070138745	0.07029694	0.07050588	0.07054101	0.07780865	0.072467394	0.07446371	0.071175516	0.07189012
n	0.05226142	0.05229001	0.052288216	0.052313156	0.052270748	0.05228834	0.052650377	0.05307077	0.061176706	0.11421799	0.08250365	0.07269665	0.06425719	0.18571475
e	0.06912727	0.06938517	0.06925602	0.06908831	0.06913075	0.069117196	0.069142304	0.069249205	0.07029091	0.08502157	0.07356825	0.07351001	0.06995514	0.07415787
f	0.03256076	0.032695476	0.03254325	0.032662023	0.032551285	0.032577995	0.033425685	0.033093274	0.037986435	0.06986812	0.06766494	0.07541777	0.08756669	0.39938632
à	0.059269294	0.05969442	0.059270788	0.059205797	0.059199203	0.059192967	0.05924868	0.05949532	0.06290511	0.09699797	0.09494031	0.1275637	0.070134774	0.072881676
i	0.03353839	0.03355456	0.036301397	0.03376097	0.0342476	0.03409329	0.034051698	0.03498676	0.04667775	0.08802753	0.06898241	0.048419613	0.046990547	0.4263675
e	0.02100329	0.02346224	0.02057641	0.020783301	0.02052625	0.02056541	0.022563605	0.02094707	0.023512717	0.03971824	0.07598631	0.11842668	0.09673575	0.47519276
s	0.022191219	0.037952583	0.016156211	0.016066957	0.015947215	0.015936065	0.016884338	0.016356798	0.020681158	0.042408865	0.117946394	0.21379165	0.073820405	0.37386015
ò	0.02892022	0.034676015	0.028520837	0.027774284	0.027877718	0.028053632	0.028584754	0.041417297	0.07535718	0.09298131	0.19237185	0.21037596	0.07971409	0.10337483
z	0.013027668	0.013478427	0.032468777	0.017799743	0.024532514	0.030831154	0.030377302	0.051277824	0.04671154	0.042719897	0.16627969	0.20455717	0.15115482	0.17478342
u	0.030506594	0.032911442	0.03310045	0.03026681	0.03457573	0.0333638	0.040850595	0.050196204	0.04941135	0.27953783	0.08504763	0.08321973	0.07145966	0.14555216
n	0.003184609	0.0032820872	0.003887407	0.003555766	0.0034088881	0.0035430605	0.005625218	0.007859484	0.012829802	0.012320269	0.06640374	0.0659122	0.19776557	0.6104219
f	0.036692604	0.04773063	0.04099331	0.03468157	0.03599309	0.035558857	0.035675656	0.037463374	0.057432473	0.10851276	0.14706232	0.14907742	0.057594117	0.1755318
à	0.032847863	0.032899175	0.032971542	0.03332393	0.032942478	0.03305002	0.03620605	0.036026616	0.058580566	0.09667348	0.19362761	0.15229669	0.07186998	0.156684
i	0.001934632	0.0019722616	0.004356307	0.0030408907	0.003220977	0.0033422983	0.0067310296	0.007561537	0.012518687	0.01334907	0.059501894	0.04068043	0.16396491	0.6778251
o	0.00079594617	0.0009182311	0.00083827326	0.0013734373	0.0008675905	0.0009736784	0.0038374083	0.0024439422	0.008083302	0.010535949	0.030600527	0.044424172	0.4562101	0.4380974
g	0.00015493334	0.00017343216	8.294431e-05	9.2668655e-05	6.5886365e-05	6.7413705e-05	0.00023384132	0.00012238097	0.0005188036	0.0008069234	0.012308951	0.020204656	0.46397313	0.50119406
e	0.0072313836	0.009150767	0.0064577577	0.0046454547	0.0058241803	0.0054753777	0.0049354685	0.0057005193	0.0070336056	0.009878495	0.061506502	0.10447745	0.10927404	0.658409
l	9.863899e-06	1.5252322e-05	7.358847e-06	3.8745336e-05	1.0190387e-05	1.8864446e-05	0.00017001026	0.00010760561	0.00028073438	0.00035089892	0.0028403886	0.0060974886	0.82920027	0.16085233
à	0.0003873856	0.0005277888	0.00032622836	0.00028175727	0.00027990903	0.00028272803	0.00069243275	0.00071138784	0.0024570844	0.0033487661	0.038625054	0.11609768	0.43809724	0.3978846
o	9.5718024e-05	0.00023264381	9.602422e-05	0.0008975135	0.00027126027	0.0005907672	0.004418547	0.003613951	0.008104846	0.007093771	0.038535293	0.08692537	0.6134817	0.23564257
p	1.0652846e-05	1.6843753e-05	4.40344e-06	3.6057296e-05	1.6590002e-05	1.3960672e-05	7.048972e-05	0.00016965526	0.00020687043	0.0005337434	0.0013051194	0.029075647	0.80140704	0.1671329
r	4.7981117e-05	7.8181605e-05	4.2214324e-05	9.032041e-05	4.8429665e-05	4.5502533e-05	0.00023609522	0.00015414301	0.00029684865	0.00043226086	0.008266626	0.013217838	0.8468933	0.1301502
ò	7.558109e-05	0.00051213667	0.00027241194	0.0005459338	0.00061503745	0.0011541304	0.003465386	0.0027734444	0.0030868906	0.0020563006	0.025218898	0.1690346	0.17416841	0.6170209
p	0.00013720528	0.00010618209	7.395616e-05	0.00014979673	0.00010907552	0.00012626787	0.00042710287	0.00047494043	0.00046132613	0.0014646415	0.0021005485	0.028649589	0.52222735	0.443492
p	1.5080793e-06	3.24568e-06	1.1644147e-06	1.5426378e-05	3.8141472e-06	3.892963e-06	0.000115764175	0.0001501163	0.0003161566	0.0012036295	0.0013228573	0.013838801	0.73028064	0.25274298
i	2.3959185e-06	4.3418872e-06	5.860687e-07	5.7816433e-06	8.809154e-06	1.3623135e-05	0.00013048976	0.00015916588	0.00036750067	0.0009723308	0.0014613706	0.028280195	0.5183149	0.45027855
f	1.5409254e-05	2.9059729e-05	1.4196565e-05	3.59791e-05	2.6607644e-05	3.7732178e-05	7.683202e-05	9.193291e-05	0.00027675688	0.0019982236	0.0022681546	0.09235157	0.46489298	0.4378846
à	8.0058e-06	1.8768247e-05	4.7363137e-06	4.2110405e-05	1.6820395e-05	4.0310224e-05	0.00023782738	0.00025944816	0.00067101774	0.002371919	0.003999811	0.01835942	0.53330564	0.4406642
i	7.9296035e-05	5.3845117e-05	4.1967865e-05	0.0001124916	0.00016448644	0.00018460861	0.0005639622	0.0006486942	0.00055222044	0.0011205293	0.0023178582	0.021713356	0.6125087	0.35993797
