 	se	vieni	a	casa	ogni	sabato	</S>
a	0.14285274	0.14285274	0.14285274	0.14285362	0.14285535	0.14285557	0.14287727
n	0.101703234	0.10170471	0.10293004	0.17806208	0.3086956	0.103009544	0.10389478
è	0.13753457	0.13753426	0.1377116	0.14667523	0.16365652	0.13782795	0.13905984
r	0.13744609	0.13743477	0.13775726	0.14580292	0.15743779	0.13856605	0.14555518
t	0.108900696	0.10919088	0.1109169	0.12826343	0.15351404	0.18184139	0.20737268
i	0.14129762	0.14129947	0.14131111	0.14155044	0.14193682	0.14230365	0.15030089
è	0.07983692	0.07963113	0.080904394	0.11403457	0.11726709	0.12699771	0.40132818
s	0.069756046	0.06974807	0.07163285	0.19460227	0.34908816	0.08910234	0.1560703
s	0.031584866	0.03224318	0.037171632	0.17924038	0.41652167	0.13131146	0.17192684
u	0.06412491	0.064561225	0.06808414	0.09631874	0.12814058	0.19367169	0.3850987
k	0.004291676	0.0030579793	0.011681339	0.049715027	0.106199116	0.40042922	0.4246256
u	0.0022171028	0.0024015834	0.007053715	0.112014756	0.19277415	0.33774167	0.345797
à	3.5753685e-05	2.6079491e-05	0.00029451764	0.0023781718	0.01912209	0.80694914	0.1711942
i	4.0506366e-05	3.3665547e-05	0.00032686358	0.0011130077	0.006347496	0.9445817	0.047556877
s	7.6147126e-06	4.991279e-06	6.673648e-05	0.00021136926	0.001583285	0.9567268	0.041399274
à	4.44553e-05	0.00015611225	0.0012569281	0.005509753	0.016671734	0.95326096	0.023099963
m	1.7900491e-05	2.7051523e-05	0.00016427989	0.0008226377	0.041530747	0.77418274	0.18325463
b	1.1068154e-05	1.663783e-05	0.00016383252	0.00073655974	0.012157022	0.9005769	0.08633797
a	1.6264956e-06	6.793262e-06	7.449531e-05	0.0007881957	0.13212103	0.7669538	0.100054085
</S>	6.5828663e-06	2.105019e-05	8.292397e-05	0.00034530179	0.21160534	0.6353941	0.15254472
